SMILES,MDEC-23,nC,C1SP2,minHsOH,minsOH,nHBAcc,maxssO,ATSc3,minHBint5,BCUTc-1h,MDEO-12,minsssN,MLFER_A,MDEC-33,VC-5,ETA_Shape_Y,minHBint10,SHsOH,SHBint10,ALogP,pIC50
CC1Oc2cc(O)cc(C)c2N=C1c3ccc(O)c(Br)c3,14.60192101,16,0,0.533285662,9.656659638,1,5.896383456,-0.145471951,0,0.165802,0.377964,0,0.979,11.51863,0.166512,0.41926,0,1.08485,0,1.125,6.495
COc1cc(O)c2C(=O)c3c(Oc2c1)oc4cc(O)ccc34,16.02196384,16,1,0.522454885,9.501030005,1,5.586896259,0.095167927,0,0.308033,1.775292,0,0.671,16.48169,0.101854,0.5,3.05221,1.127571,3.05221,-0.3933,5.564
Oc1cc(O)c2C(=O)c3oc4c(cc(O)cc4c3Oc2c1)C#N,16.66764888,16,0,0.555633897,9.535692266,2,5.562174036,-0.14490454,3.02271,0.24097,1.777978,0,1.333,19.5223,0.108654,0.52885,0,1.731172,0,-1.326,5.81
Oc1cc(O)c2C(=O)c3sc4ccccc4c3Oc2c1,15.76449752,15,0,0.529913732,9.537021999,1,5.806435185,-0.045669587,-0.85974,0.250465,0.75,0,0.671,14.85681,0.171889,0.46552,0,1.117424,0,0.1427,5.435
CC1=C(c2ccc(O)cc2)C3(Cc4ccccc4C3)c5ccc(O)cc15,33.56340605,24,0,0.453159958,9.725052095,0,0,-0.029111042,0,0.075427,0,0,1.089,11.59025,0.313227,0.35526,4.407004,0.968949,9.594061,3.3672,7.721
Oc1ccc2CC3(Cc2c1)C(=Cc4ccccc34)c5ccccc5,31.35574949,23,0,0.483305149,9.891209464,0,0,-0.0182855,0,0.074649,0,0,0.546,7.32518,0.26401,0.29577,0,0.483305,0,3.4839,7.237
Oc1ccc2c(C=C(c3ccccc3)C24Cc5ccccc5C4)c1,31.39803344,23,0,0.480937736,9.928760078,0,0,-0.016816379,0,0.110773,0,0,0.546,7.403431,0.26401,0.29577,0,0.480938,0,3.4839,7.62
Oc1cc(O)c2C(=O)c3oc4c(Br)cc(O)cc4c3Oc2c1,13.8747532,15,0,0.548889498,9.550044118,1,5.6530607,-0.155688929,3.090144,0.242486,1.777978,0,1.333,19.5223,0.151786,0.50769,0,1.697113,0,-0.7124,5.9
Oc1ccc2oc3C(=O)c4c(O)cc(O)cc4Oc3c2c1,15.71470594,15,0,0.561806737,9.49657704,1,5.572083333,-0.136561152,3.056552,0.242467,1.777978,0,1.214,16.53939,0.096202,0.52632,0,1.762345,0,-1.1651,5.53
OC[C@]12CC[C@H]([C@H](C1)C=CC2)c3ccc(O)cc3,16.31880052,16,0,0.428015637,9.363409706,1,0,-0.01481063,0,0.081917,0,0,0.891,2.7016,0.087396,0.23077,4.007686,0.996931,9.480351,0.914,6.26
Oc1cccc(c1)C2=Cc3ccc(O)cc3C24Cc5ccccc5C4,33.30719273,23,0,0.447530707,9.972051419,0,0,-0.025664936,0,0.110895,0,0,1.089,8.907222,0.26401,0.32877,0,0.920662,0,2.9208,7.509
Oc1ccc(cc1)c2sc3cc(O)ccc3c2C(=O)c4ccc(cc4)N5CCN(CC5)C(=O)c6occc6,40.09254404,30,2,0.468030535,9.754666936,4,0,-0.125712485,0,0.257422,0.39044,1.797473,1.089,14.30284,0.258994,0.37159,4.565482,0.98912,9.800992,0.9943,8.577
Oc1ccc(cc1)c2sc3cc(O)ccc3c2C(=O)c4ccc(cc4)N5CCN(CC5)C(=O)c6cccc(Cl)c6,43.65113973,32,1,0.461278992,9.779279704,4,0,-0.013983813,0,0.233988,0,1.922732,1.089,14.98686,0.26345,0.37092,4.510976,0.976266,9.699182,2.7571,9.337
Oc1ccc(cc1)c2sc3cc(O)ccc3c2C(=O)c4ccc(cc4)N5CCN(CC5)C(=O)c6ccc(Cl)cc6,43.71130416,32,1,0.461517157,9.778264579,4,0,-0.018697257,0,0.233924,0,1.913835,1.089,14.71454,0.26345,0.37092,4.512837,0.976711,9.702518,2.7571,9.108
Oc1ccc(cc1)c2sc3cc(O)ccc3c2C(=O)c4ccc(cc4)N5CCN(CC5)C(=O)c6ccccc6Cl,43.494837,32,1,0.46100224,9.780451519,4,0,-0.013438097,0,0.235886,0,1.938229,1.089,15.35611,0.308657,0.37092,4.50881,0.975751,9.695318,2.7571,8.764
Oc1ccc(cc1)c2sc3cc(O)ccc3c2C(=O)c4ccc(cc4)N5CCN(CC5)C(=O)c6ccc(cc6)[N+](=O)[O-],43.71130416,32,1,0.463739992,9.773131958,4,0,-0.02960754,0,0.233942,0,1.744232,1.089,14.71454,0.26345,0.38436,4.532192,0.980963,9.73941,2.6017,8.668
Oc1ccc(cc1)c2sc3cc(O)ccc3c2C(=O)c4ccc(cc4)N5CCN(CC5)C(=O)c6ccccc6[N+](=O)[O-],43.494837,32,1,0.463705679,9.774280569,4,0,-0.006872099,0,0.236229,0,1.634278,1.089,15.35611,0.290874,0.38436,4.532389,0.9809,9.740014,2.6017,8.446
COc1ccc2[C@H]([C@H](OCc2c1)c3ccccc3)c4ccc(OCCN5CCCC5)cc4,33.31048248,28,0,0,0,2,6.416793161,-0.074364884,0,0.095034,0,2.475593,0.003,10.0098,0.125546,0.28571,0,0,0,1.4881,7.409
COc1ccc2[C@H]([C@H](SCc2c1)c3ccccc3)c4ccc(OCCN5CCCC5)cc4,33.31048248,28,0,0,0,1,6.07660265,-0.069265316,0,0.078593,0,2.499162,0.003,10.0098,0.204927,0.27673,0,0,0,2.2328,7.886
COc1cc(O)c(Br)c2cc(oc12)c3ccc(O)cc3,15.95607369,15,0,0.513316563,9.331734575,0,5.263840231,-0.078990629,3.013928,0.143014,0.697757,0,0.979,10.09718,0.180656,0.39344,4.790134,1.123577,10.86172,0.6636,7.678
COc1cc(O)c(Br)c2cc(oc12)c3ccc(O)c(F)c3,15.67762788,15,0,0.518316563,9.243771612,0,5.213493008,-0.128815408,2.985406,0.153856,0.697757,0,0.979,12.15142,0.194742,0.43052,4.7912,1.159827,11.16351,0.5734,6.475
COc1cc(O)c(Cl)c2cc(oc12)c3ccc(O)cc3,15.95607369,15,0,0.514666871,9.328925933,0,5.256038447,-0.08443245,3.016074,0.155571,0.697757,0,0.979,10.09718,0.123913,0.41895,4.801289,1.125143,10.86431,0.5796,6.943
COc1cc(O)c(C#N)c2cc(oc12)c3ccc(O)cc3,18.57043667,16,0,0.547460081,9.317382723,1,5.172953567,-0.059753189,3.144954,0.156051,0.697757,0,1.089,10.09718,0.080581,0.41096,5.100895,1.163183,11.1716,0.05,5.783
Oc1ccc(cc1)c2oc3c(CC#N)cc(O)c(Cl)c3c2,20.14182985,16,0,0.48855576,9.344793702,1,0,-0.062286523,2.880427,0.155445,0.365148,0,0.979,10.09718,0.132719,0.39548,4.565453,1.093164,10.61016,0.9521,6.204
CCCCOc1cc(ccc1O)c2oc3cc(O)ccc3n2,17.48943363,17,1,0.535381,9.470217423,1,5.573088677,-0.037493207,0,0.180713,0.792805,0,0.838,6.866436,0.045644,0.34202,5.070174,1.138696,11.01181,-0.4555,5.205
Oc1ccc2c(noc2c1)c3ccc(O)c(Cl)c3,15.68803568,13,0,0.567342608,9.376285168,0,0,-0.080787798,0,0.147374,0.377964,0,0.979,7.376268,0.094039,0.4063,5.319566,1.186639,11.23687,0.9516,6.564
Cc1cc(ccc1O)c2noc3cc(O)ccc23,15.68803568,14,0,0.568885818,9.369741959,0,0,-0.045366946,0,0.120106,0.377964,0,1.089,7.376268,0.089049,0.41667,5.330313,1.188429,11.22464,1.0293,6.366
CCCc1cc(O)ccc1c2noc3cc(O)ccc23,19.27718454,16,0,0.543199877,9.464448472,0,0,-0.055751372,0,0.120095,0.377964,0,1.089,7.76201,0.078748,0.37234,5.141087,1.142133,10.91146,0.213,7.301
CCCc1cc(ccc1O)c2noc3cc(O)ccc23,18.92876189,16,0,0.50110804,9.439709819,0,0,-0.045900164,0,0.120094,0.377964,0,1.089,7.376268,0.078134,0.37234,4.730314,1.105443,10.67476,0.213,6.678
Oc1ccc(c(CC#N)c1)c2noc3cc(O)ccc23,19.27718454,15,0,0.577496929,9.421390621,1,0,-0.084978212,0,0.23386,0.377964,0,1.089,7.76201,0.078748,0.37634,5.440824,1.189695,11.27201,0.4568,6.144
O\N=C\c1cc(O)ccc1c2noc3cc(O)ccc23,17.77945416,14,1,0.594441374,8.693125079,0,0,-0.050625517,0,0.233843,0.516459,0,1.089,7.76201,0.073341,0.38321,5.370475,2.011847,24.35237,0.2368,5.622
Oc1ccc2c(noc2c1)c3cccc4c(O)cccc34,22.75483782,17,0,0.503677485,9.497390859,0,0,-0.052413476,0,0.153033,0.377964,0,1.089,10.43604,0.109586,0.40404,4.783622,1.102763,10.75407,1.1273,8.222
Cc1cc(O)c2cccc(c3oc4cc(O)ccc4n3)c2c1,21.76357966,18,1,0.471483607,9.533782044,1,0,0.014734854,0,0.181138,0.408248,0,1.089,11.83159,0.088691,0.43269,4.495022,1.062305,10.47148,1.6493,6.788
COc1cc(O)cc2C(=O)C(=C(Br)c12)c3ccc(O)cc3,17.80192804,16,0,0.543468207,9.383972452,1,5.310964716,-0.00115823,6.882084,0.196002,0.531329,0,1.274,14.27621,0.203844,0.42188,5.099891,1.136443,10.87599,1.0563,6.699
Oc1ccc(cc1)C2=C(Br)c3c(O)cc(O)cc3C2=O,17.80192804,15,0,0.496158588,9.325914601,1,0,0.002264583,6.197906,0.195993,0,0,2.197,14.27621,0.20525,0.44262,5.327391,1.668644,11.05707,0.9918,6.149
CSC1=C(C(=O)c2cc(O)cc(O)c12)c3ccc(O)cc3,17.80192804,16,0,0.464306737,9.381807734,1,0,-0.011801741,5.872245,0.195437,0,0,2.002,14.27621,0.159049,0.44262,5.193228,1.605152,10.83179,0.7852,8.699
CCSC1=C(C(=O)c2cc(O)cc(O)c12)c3ccc(O)cc3,20.06058768,17,0,0.443898573,9.427980573,1,0,-0.013750467,5.665597,0.195446,0,0,2.002,14.27621,0.159049,0.42188,5.102392,1.562398,10.67796,1.0356,6.237
COc1ccc2C(=O)C(=C(Br)c2c1)c3ccc(O)cc3,19.30805692,16,0,0.594295163,9.37023831,1,5.238733159,-0.008806529,0,0.195813,0.258199,0,0.546,11.18711,0.201398,0.3871,3.113354,0.594295,3.113354,1.6194,5.745
Oc1ccc2C(=C(C(=O)Oc2c1)c3ccc(Cl)cc3)Cc4ccccc4,31.35981996,22,1,0.539817278,9.761133303,1,5.531305351,0.051587002,0,0.299248,0.707107,0,0.546,12.10643,0.095873,0.35393,0,0.539817,0,3.4239,6.921
Oc1ccc(c(F)c1)c2ccc3c(Cl)c(O)ccc3c2,22.13962266,16,0,0.524631719,9.260725025,0,0,-0.050727723,0,0.133716,0,0,1.098,9.000642,0.141373,0.41379,0.341787,1.143647,0.341787,2.1123,7.237
Oc1ccc2cc(ccc2c1)c3cc(F)c(O)cc3F,22.28465618,16,0,0.59280716,9.130963266,0,0,-0.059170407,0,0.153803,0,0,1.208,8.743706,0.081668,0.43299,7.921063,1.251541,7.921063,1.6534,7.569
Oc1ccc2cc(ccc2c1Cl)c3cc(F)c(O)cc3F,21.94732666,16,0,0.52876395,9.172762062,0,0,-0.091404019,0,0.153847,0,0,1.098,11.18117,0.155459,0.45215,0.318447,1.179029,7.421129,2.0221,6.928
Oc1ccc2cc(ccc2c1)c3c(F)cc(O)cc3F,22.12289503,16,0,0.593674929,9.159759563,0,0,-0.006583014,0,0.137728,0,0,1.327,9.175582,0.075888,0.43299,0,1.241158,0,1.6534,7.987
Oc1cc(F)c(c(F)c1)c2ccc3c(Cl)c(O)ccc3c2,21.67914407,16,0,0.529631719,9.201558359,0,0,-0.038805304,0,0.137874,0,0,1.217,11.65821,0.149679,0.45215,0.303661,1.168647,0.303661,2.0221,7.456
Oc1ccc(c(Cl)c1)c2ccc3cc(O)ccc3c2,22.40546524,16,0,0.566495735,9.469991359,0,0,-0.015775849,0,0.129789,0,0,1.208,6.628077,0.09908,0.3731,0,1.139924,0,2.2025,8
Oc1ccc(c(Cl)c1)c2ccc3c(Cl)c(O)ccc3c2,22.13962266,16,0,0.509384805,9.526897865,0,0,-0.048014666,0,0.129931,0,0,1.098,9.000642,0.17287,0.39623,0.353956,1.067412,0.353956,2.5712,7.444
Cc1cc(O)ccc1c2ccc3cc(O)ccc3c2,22.40546524,17,0,0.567483389,9.458926229,0,0,-0.020214547,0,0.074851,0,0,1.089,6.628077,0.093501,0.38182,0,1.141158,0,2.2802,7.398
Cc1cc(O)ccc1c2ccc3c(Cl)c(O)ccc3c2,22.13962266,17,0,0.509631719,9.500725025,0,0,-0.052462119,0,0.110421,0,0,0.979,9.000642,0.167291,0.40482,0.350066,1.068647,0.350066,2.6489,7.398
Oc1ccc2cc(ccc2c1)c3ccc(O)c(F)c3,22.28322106,16,0,0.58780716,9.190129933,0,0,-0.073563762,0,0.153531,0,0,1.089,6.336588,0.069641,0.39096,7.846416,1.226541,7.846416,1.7436,7.036
Oc1ccc(cc1F)c2ccc3c(Cl)c(O)ccc3c2,22.12704552,16,0,0.52376395,9.231928729,0,0,-0.105809159,0,0.15357,0,0,0.979,8.65433,0.143432,0.41379,0.357147,1.154029,7.385683,2.1123,6.845
Oc1ccc2cc(ccc2c1)c3ccc(O)c(Cl)c3,22.28322106,16,0,0.54344018,9.461131719,0,0,-0.050777088,0,0.147229,0,0,0.979,6.336588,0.097813,0.3731,0.366334,1.118647,0.366334,2.2025,6.971
Oc1ccc(cc1Cl)c2ccc3c(Cl)c(O)ccc3c2,22.12704552,16,0,0.511163195,9.647823791,0,0,-0.083022692,0,0.119707,0,0,0.869,8.65433,0.171604,0.39623,0.32765,1.046135,0.666397,2.5712,6.449
Oc1ccc2cc(ccc2c1)c3cc(F)c(O)c(F)c3,21.88589007,16,0,0.591939391,9.10216697,0,0,-0.117011105,0,0.157782,0,0,1.089,8.577,0.079953,0.43299,7.913908,1.261923,15.82782,1.6534,7.036
Oc1ccc2cc(ccc2c1Cl)c3cc(F)c(O)c(F)c3,21.65412933,16,0,0.527896182,9.143965766,0,0,-0.149255989,0,0.157857,0,0,0.979,10.96795,0.153744,0.45215,0.333558,1.189411,14.52353,2.0221,6.285
Oc1ccc(cc1)c2cc(F)c3cc(O)ccc3c2,22.17458729,16,0,0.597563817,9.258609871,0,0,-0.021400801,8.384502,0.131765,0,0,1.089,6.935683,0.067583,0.39096,0,1.21122,0,1.7436,7.658
Oc1ccc2cc(cc(F)c2c1)c3ccc(O)c(F)c3,22.4135464,16,0,0.601696049,9.170646908,0,0,-0.076418379,8.446575,0.1536,0,0,1.089,8.882774,0.081668,0.43299,8.035907,1.246602,8.035907,1.6534,7.678
Oc1ccc(cc1)c2cc(F)c3c(Cl)c(O)ccc3c2,21.17542047,16,0,0.533520608,9.300408667,0,0,-0.047014458,7.639026,0.133797,0,0,0.979,9.68478,0.13428,0.41379,0.232241,1.138708,0.232241,2.1123,7.398
Oc1ccc(cc1F)c2cc(F)c3c(Cl)c(O)ccc3c2,21.31961304,16,0,0.537652839,9.212445704,0,0,-0.102031519,7.70185,0.153653,0,0,0.979,11.67,0.148366,0.45215,0.204502,1.174091,7.423074,2.0221,6.903
Oc1ccc(cc1)c2cc(Cl)c3cc(O)ccc3c2,22.17458729,16,0,0.55521128,9.340761982,0,0,-0.017869098,0.402542,0.128232,0,0,1.089,6.935683,0.09908,0.3731,0,1.150044,0,2.2025,7.523
Oc1ccc(cc1)c2cc(Cl)c3c(Cl)c(O)ccc3c2,21.17542047,16,0,0.49116807,9.382560778,0,0,-0.045778307,0.366342,0.155207,0,0,0.979,9.68478,0.161557,0.39623,0.381092,1.077532,0.381092,2.5712,7.367
Oc1ccc(cc1)c2cc(C#N)c3c(Cl)c(O)ccc3c2,23.86899709,17,0,0.50574283,9.368309902,1,0,-0.054927735,0,0.153295,0,0,0.979,9.68478,0.138684,0.38907,0.281282,1.098585,0.281282,2.0416,6.963
Oc1ccc(cc1F)c2cc(C#N)c3c(Cl)c(O)ccc3c2,24.11356247,17,0,0.509875061,9.280346939,1,0,-0.110048819,0,0.154798,0,0,0.979,11.67,0.15277,0.42587,0.257148,1.133967,7.159181,1.9514,6.524
Oc1ccc2cc(cc(C=C)c2c1)c3ccc(O)c(F)c3,24.8650694,18,1,0.551667704,9.274720982,0,0,-0.073563789,0,0.153546,0,0,1.089,8.882774,0.089976,0.40191,7.45353,1.173642,7.45353,2.2555,6.595
CCc1cc(cc2ccc(O)cc12)c3ccc(O)c(F)c3,24.8650694,18,0,0.539621219,9.290893822,0,0,-0.074951477,0,0.153503,0,0,1.089,8.882774,0.095383,0.40191,7.301648,1.156009,7.301648,1.8549,6.629
Oc1ccc2cc(cc(C#C)c2c1)c3ccc(O)c(F)c3,24.8650694,18,0,0.563714189,9.258548143,0,0,-0.072535395,0,0.153551,0,0,1.171,8.882774,0.086753,0.40191,7.604925,1.191275,7.604925,2.3129,6.607
CC#Cc1cc(cc2ccc(O)cc12)c3ccc(O)c(F)c3,26.5104108,19,0,0.548089189,9.306605994,0,0,-0.081838846,0,0.15356,0,0,1.089,8.882774,0.086753,0.38269,7.437167,1.167385,7.437167,2.7804,6.465
Oc1ccc(cc1F)c2ccc3c(Br)c(O)cc(C#N)c3c2,24.11623124,17,0,0.502413641,9.273365147,1,0,-0.097382683,0,0.154822,0,0,1.098,11.34096,0.217785,0.4023,6.790221,1.1275,6.790221,2.0354,6.936
Cc1c(O)cc(C#N)c2cc(ccc12)c3ccc(O)c(F)c3,24.11623124,18,0,0.50530716,9.265636344,1,0,-0.070698679,0,0.154555,0,0,1.208,11.34096,0.15189,0.43468,6.824602,1.130776,6.824602,2.0291,6.391
Oc1ccc(cc1)c2ccc3c(Cl)c(O)cc(C#N)c3c2,23.80195183,17,0,0.499631719,9.359006918,1,0,-0.049225216,0,0.154864,0,0,1.098,9.396102,0.146957,0.38907,0.306139,1.093647,0.306139,2.0416,7.009
Oc1ccc(cc1F)c2ccc3c(Cl)c(O)cc(C#N)c3c2,24.11623124,17,0,0.50376395,9.271043955,1,0,-0.10440059,0,0.156169,0,0,1.098,11.34096,0.161042,0.42587,0.28321,1.129029,7.090266,1.9514,7.26
Oc1cc(C#C)c2cc(ccc2c1)c3ccc(O)c(F)c3,24.68775365,18,0,0.553918271,9.245774085,0,0,-0.071282067,5.691441,0.153551,0,0,1.171,8.686956,0.086753,0.40191,5.468603,1.183519,12.9253,2.3129,7.137
CC#Cc1cc(O)cc2ccc(cc12)c3ccc(O)c(F)c3,26.19781648,19,0,0.533510108,9.285948557,0,0,-0.081171818,0,0.15356,0,0,1.089,8.686956,0.086753,0.38269,7.216428,1.156167,7.216428,2.7804,6.745
Oc1cc(C=C)c2cc(ccc2c1)c3ccc(O)c(F)c3,24.68775365,18,1,0.536973827,9.259038548,0,0,-0.073571136,0,0.153546,0,0,1.089,8.686956,0.089976,0.40191,7.237283,1.162009,7.237283,2.2555,6.278
CCc1cc(O)cc2ccc(cc12)c3ccc(O)c(F)c3,24.68775365,18,0,0.520029382,9.272303011,0,0,-0.075633093,0,0.153503,0,0,1.089,8.686956,0.095383,0.40191,7.017317,1.140498,7.017317,1.8549,6.947
Oc1ccc(cc1)c2ccc3cc(O)ccc3c2,21.74741499,16,0,0.583674929,9.278092896,0,0,-0.018384551,0,0.119009,0,0,1.089,4.551341,0.055556,0.34615,0,1.191158,0,1.8338,6.676
Oc1cccc(c1)c2ccc3c(O)cccc3c2,21.14030078,16,0,0.529612859,9.49176813,0,0,-0.017780813,0,0.119108,0,0,1.089,5.479914,0.070468,0.34615,0,1.099961,0,1.8338,5.838
Oc1ccc(cc1)c2ccc3c(O)cccc3c2,21.32948194,16,0,0.529612859,9.278671408,0,0,-0.017774198,0,0.11906,0,0,1.089,5.07104,0.070468,0.34615,4.914104,1.137096,10.82856,1.8338,7.658
Oc1cccc(c1)c2ccc3cc(O)ccc3c2,21.56584491,16,0,0.570348403,9.419911435,0,0,-0.018391819,0,0.119057,0,0,1.089,4.913151,0.055556,0.34615,5.372631,1.154023,10.91228,1.8338,6.638
Oc1ccc2cc(ccc2c1)c3ccccc3,19.57868015,16,0,0.583674929,9.416578102,0,0,-0.009195966,0,0.115154,0,0,0.546,3.879176,0.055556,0.3,0,0.583675,0,2.3969,5.871
Oc1cccc(c1)c2ccc3ccc(O)cc3c2,21.49317418,16,0,0.570348403,9.49176813,0,0,-0.018391481,0,0.119096,0,0,1.089,5.092906,0.055556,0.34615,0,1.140697,0,1.8338,5.578
Oc1ccc2ccc(cc2c1)c3ccccc3,19.6016678,16,0,0.570348403,9.49170383,0,0,-0.009195966,0,0.115154,0,0,0.546,4.039695,0.055556,0.3,0,0.570348,0,2.3969,5.468
Oc1ccc(cc1)c2ccc3ccccc3c2,19.98979916,16,0,0.607483389,9.275338075,0,0,-0.009188586,0,0.118957,0,0,0.546,3.499643,0.055556,0.3,0,0.607483,0,2.3969,6.195
Oc1ccc(cc1)c2ccc3c(Cl)c(O)ccc3c2,21.65412933,16,0,0.519631719,9.319891692,0,0,-0.050630462,0,0.119394,0,0,0.979,6.807079,0.129346,0.3731,0.376834,1.118647,0.376834,2.2025,7.041
Oc1ccc(cc1)c2ccc3c(Br)c(O)ccc3c2,21.65412933,16,0,0.51828141,9.322212884,0,0,-0.042447518,0,0.119166,0,0,0.979,6.807079,0.186089,0.35,0,1.117118,0,2.2865,6.575
Oc1ccc(cc1)c2ccc3c(F)c(O)ccc3c2,21.65412933,16,0,0.611615621,9.264897304,0,0,-0.073058958,0,0.160641,0,0,1.089,6.807079,0.077671,0.39096,8.380518,1.226541,8.380518,1.7436,7.114
Cc1c(O)ccc2cc(ccc12)c3ccc(O)cc3,21.65412933,17,0,0.521174929,9.314484081,0,0,-0.010826525,0,0.119035,0,0,1.089,6.807079,0.120193,0.38182,0,1.120394,0,2.2802,6.55
