SMILES,Caco-2,SP-1,WPATH,ECCEN,SP-2,MLFER_L,nBonds,Kier1,MW,ETA_Eta_R,MDEC-23,ETA_Alpha,VAdjMat,WTPT-1,ETA_Beta_s,ETA_Beta,Kier3,ATSm2,nHeavyAtom,SaaO,SP-0,sumI,VP-1,McGowan_Volume,Kier2,minaaO
Oc1ccc(cc1)[C@H]2Sc3cc(O)ccc3O[C@H]2c4ccc(CCCN5CCCCC5)cc4,0,16.15299968,3542,977,14.47319431,17.801,37,24.68371074,461.2024649,61.25558,32.53155753,16.23332,6.044394119,68.74892346,20.25,39.25,6.41568278,42.16648412,33,0,22.6227451,66.48148148,12.80020779,3.5632,11.82314494,0
CN1CCCN(CC1)c2ccc(cc2)[C@@H]3Oc4ccc(O)cc4S[C@@H]3c5ccc(O)cc5,0,15.56368328,3010,831,14.30581436,17.494,36,23.72839506,448.1820638,60.71087,31.97537514,15.63332,6,66.66735128,20.5,39.5,5.644463668,41.66502992,32,0,22.07877502,65.98148148,11.93370256,3.3812,10.7266436,0
Oc1ccc(cc1)[C@H]2Sc3cc(O)ccc3O[C@H]2c4ccc(cc4)C5CCNCC5,0,14.66983643,2482,730,13.33039915,16.422,34,21.82525952,419.1555147,54.85977,35.31404006,14.73332,5.906890596,62.75651348,18.5,37.5,5.010177515,39.00030218,30,0,20.50142475,62.31481481,11.3102496,3.1405,9.868055556,0
CCN1CCN(CC1)c2ccc(cc2)[C@@H]3Oc4ccc(O)cc4S[C@@H]3c5ccc(O)cc5,0,15.60168809,3061,878,14.12136294,17.494,36,23.72839506,448.1820638,60.24212,31.7528437,15.63332,6,66.6377102,20.5,39.5,5.482041588,41.66502992,32,0,22.07877502,65.98148148,12.00982351,3.3812,10.7266436,0
Oc1ccc(cc1)[C@H]2Sc3cc(O)ccc3O[C@H]2c4ccc(cc4)N5CCNCC5,0,14.66983643,2482,730,13.33039915,16.966,34,21.82525952,420.1507636,54.85977,31.38531863,14.63332,5.906890596,62.75651348,19.25,38.25,5.010177515,39.49884798,30,0,20.50142475,62.98148148,11.06114021,3.0994,9.868055556,0
Oc1ccc(cc1)[C@H]2Sc3cc(O)ccc3O[C@H]2c4ccc(CN5CCCCC5)cc4,0,15.15299968,2804,809,13.77799291,16.803,35,22.7755102,433.1711647,56.97907,32.25880945,15.23332,5.95419631,64.75217633,19.25,38.25,5.566863905,40.16648412,31,0,21.20853153,63.48148148,11.80020779,3.2814,10.50812162,0
Oc1ccc(cc1)[C@H]2Sc3cc(O)ccc3O[C@H]2c4ccc(cc4)N5CCCNCC5,0,15.16983643,2732,758,13.68395254,17.403,35,22.7755102,434.1664137,57.56046,31.97537514,15.13332,5.95419631,64.82536643,19.75,38.75,5.399449036,40.49884798,31,0,21.20853153,64.48148148,11.56114021,3.2403,10.50812162,0
C[C@]12CC[C@H]3[C@@H](CCc4cc(O)ccc34)[C@@H]1CC[C@@H]2O,1,9.593172146,724,336,9.376602665,10.307,23,13.64839319,272.17763,32.7265,23.17814628,9.66666,5.321928095,41.76699607,12,18.5,1.960840157,23.66418395,20,0,13.90541292,40.58333333,8.092631573,2.1988,4.75,0
CCCCN(C)C(=O)CCCCCCCCCCS[C@@H]1[C@H](O)c2cc(O)ccc2[C@H]3CC[C@]4(C)[C@@H](O)CC[C@H]4[C@H]13,0,19.27391136,6828,1556,16.99562145,21.243,43,32.90427258,573.3851802,82.70124,31.49184604,19.56665,6.321928095,81.1412079,23.25,31.25,7.945865556,48.16648412,40,0,28.70009537,81.06481481,17.36933524,4.7909,15.64333333,0
CC\C(=C(/c1ccccc1)\c2ccc(\C=C\C(=O)O)cc2)\c3ccccc3,0,13.18587185,1880,577,11.19763608,13.62,29,21.70273484,354.1619799,48.28184,32.02019747,13.16666,5.754887502,54.93834174,15,37.5,6.237401083,29.66418395,27,0,19.06226716,60.16666667,9.041809127,2.9067,11.2534626,0
C[C@]12CC[C@H]3[C@@H]([C@H](Sc4ccc(Br)cc4)C(O)c5cc(O)ccc35)[C@@H]1CC[C@@H]2O,0,13.88086585,1972,573,13.50109429,16.213,33,20.87786961,474.0864278,57.02225,32.25450325,15.16665,5.857980995,60.24303333,17.25,30.75,3.456537619,42.9885218,29,0,20.33613434,59.2962963,12.16719751,3.2038,7.847750865,0
C[C@]12CC[C@H]3[C@@H]([C@@H](Cc4cc(O)ccc34)Sc5ccc(\C=C\C(=O)O)cc5)[C@@H]1CC[C@@H]2O,0,15.34719234,2911,805,14.8021807,16.999,36,23.72839506,450.1864804,63.02009,37.32152189,15.66665,6,66.29429052,19,35,4.64,40.66793832,32,0,22.45745468,71.06481481,12.40522587,3.4242,9.567901235,0
CN(C)C(=O)\C=C\c1ccc(S[C@@H]2Cc3cc(O)ccc3[C@H]4CC[C@]5(C)[C@@H](O)CC[C@H]5[C@H]24)cc1,0,16.25787594,3559,915,15.62963467,18.341,38,25.64127424,477.233765,68.71508,37.32152189,16.73332,6.087462841,70.12179529,20.5,36.5,5.086364365,42.83439214,34,0,24.03480495,71.06481481,13.29965306,3.7471,10.40073869,0
CCCCN(C)C(=O)CCCCCCCCCCS[C@H]1[C@@H]2[C@H](CC[C@]3(C)[C@@H](O)CC[C@@H]23)c4ccc(O)cc4C1=O,0,19.27391136,6828,1556,16.99562145,21.386,43,32.90427258,571.3695302,82.70124,31.49184604,19.56665,6.321928095,81.1412079,23.25,32.75,7.945865556,48.16648412,40,0,28.70009537,82.39814815,17.23192717,4.7479,15.64333333,0
C[C@]12CC[C@H]3[C@@H]([C@H](CCCCCCCCCS(=O)CCCC(F)(F)C(F)(F)F)Cc4cc(O)ccc34)[C@@H]1CC[C@@H]2O,0,19.33215401,7474,1538,18.89203769,18.765,44,33.88429752,606.3166075,87.09624,30.53531011,19.26187,6.357552005,82.68740068,24,32,8.185941043,53.46907937,41,0,29.83828805,108.3487654,16.46295261,4.4821,14.4,0
CCCCN(C)C(=O)CCCCCCCCCCS[C@@H]1Cc2cc(O)ccc2[C@H]3CC[C@]4(C)[C@@H](O)CC[C@H]4[C@H]13,0,18.846391,6524,1519,16.56465705,20.766,42,31.92517007,557.3902656,78.21514,30.97864879,19.23332,6.285402219,79.31812818,22.5,30.5,8.094674556,46.83439214,39,0,27.82985188,75.23148148,17.25092957,4.7322,15.46432818,0
Oc1ccc(cc1)[C@H]2Sc3cc(O)ccc3S[C@H]2c4ccc(OCCN5CCCC5)cc4,0,15.65299968,3208,895,14.11964092,18.062,36,23.72839506,465.1432357,58.77465,30.65743438,16.06665,6,66.63497474,19.75,39.25,5.991735537,44.50605453,32,0,21.91563832,64.12962963,12.81910649,3.4449,11.16,0
Oc1ccc2O[C@H]([C@H](Sc2c1)c3cccc(O)c3)c4ccc(OCCN5CCCC5)cc4,0,15.65299968,3183,893,14.1315463,17.163,36,23.72839506,449.1660793,58.97957,30.52896083,15.56665,6,66.63431821,20.25,39.75,5.991735537,41.83066807,32,0,21.91563832,66.98148148,11.93945368,3.3401,11.16,0
Oc1ccc(cc1)[C@H]2Sc3cc(O)ccc3S[C@H]2c4ccc(OCCN5CCCCC5)cc4,0,16.15299968,3542,977,14.47319431,18.561,37,24.68371074,479.1588858,61.25558,30.90106359,16.56665,6.044394119,68.74892346,20.25,39.75,6.41568278,45.50605453,33,0,22.6227451,65.62962963,13.31910649,3.5858,11.82314494,0
Oc1cccc(c1)[C@H]2Sc3cc(O)ccc3S[C@H]2c4ccc(OCCN5CCCCC5)cc4,0,16.15299968,3516,975,14.48509969,18.561,37,24.68371074,479.1588858,61.46272,30.79101322,16.56665,6.044394119,68.74826691,20.25,39.75,6.41568278,45.50605453,33,0,22.6227451,65.62962963,13.31910649,3.5858,11.82314494,0
Oc1cccc(c1)[C@H]2Sc3cc(O)ccc3S[C@H]2c4ccc(OCCN5CCCCC5)c(Br)c4,0,16.56368328,3717,994,15.01478982,19.732,38,25.64127424,557.0693979,65.44488,32.00381628,17.89998,6.087462841,70.59428518,20.75,40.75,6.478367347,52.15872999,34,0,23.49298858,66.36111111,14.21775366,3.7608,12.02990388,0
Oc1ccc(cc1)[C@H]2Sc3cc(O)ccc3S[C@H]2c4ccc(OCCN5CCCCC5)c(Br)c4,0,16.56368328,3744,996,15.00288444,19.732,38,25.64127424,557.0693979,65.22993,32.16329687,17.89998,6.087462841,70.59494132,20.75,40.75,6.478367347,52.15872999,34,0,23.49298858,66.36111111,14.21775366,3.7608,12.02990388,0
Oc1ccc(cc1)[C@H]2Sc3cc(O)ccc3S[C@H]2c4ccc(OCCN5CCCC5)c(Br)c4,0,16.06368328,3401,914,14.64933105,19.233,37,24.68371074,543.0537478,62.6819,31.79855991,17.39998,6.044394119,68.4810262,20.25,40.25,6.049149338,51.15872999,33,0,22.7858818,64.86111111,13.71775366,3.6199,11.37278107,0
Oc1cccc(c1)[C@H]2Sc3cc(O)ccc3O[C@H]2c4ccc(OCCN5CCCCC5)cc4,0,16.15299968,3516,975,14.48509969,17.662,37,24.68371074,463.1817294,61.46272,30.79101322,16.06665,6.044394119,68.74826691,20.75,40.25,6.41568278,42.83066807,33,0,22.6227451,68.48148148,12.43945368,3.481,11.82314494,0
CN(CCCc1ccc(Cl)cc1)c2nc(NCCc3ccc(O)cc3)nc(n2)N4CCNCC4,0,16.56368328,4037,1037,14.58226811,20.487,37,27.04601899,481.2356863,63.44206,21.69941623,16.34762,6.087462841,69.69801482,23,43,8.817777778,41.94277355,34,,23.75250161,68.51234568,12.13580615,3.6894,14.07413578,
CN(CCCc1ccc(F)cc1)c2nc(NCCc3ccc(O)cc3)nc(n2)N4CCNCC4,0,16.56368328,4037,1037,14.58226811,19.671,37,27.04601899,465.2652369,63.44206,21.69941623,15.91904,6.087462841,69.69801482,23,43,8.817777778,40.57278802,34,,23.75250161,75.16666667,11.75784167,3.5847,14.07413578,
CN(C[C@@H]1C[C@@H]1c2ccccc2)c3nc(NCCc4ccc(O)cc4)nc(n3)N5CCNCC5,0,16.65299968,3909,1011,14.81889568,20.062,38,25.64127424,459.2746587,62.62631,24.91725876,16.13333,6.087462841,70.1006301,23.25,42.75,7.287419651,40.99100291,34,,23.32985188,68.66666667,12.15137578,3.5993,12.49704142,
CN(CCCc1ccc(Cl)cc1)c2nc(NCCc3ccc(O)cc3)nc(n2)N4CCN(Cc5csc(C)n5)CC4,0,19.90701988,6793,1354,17.98493552,24.154,45,32.39506173,592.2499565,82.14165,26.80689005,20.08095,6.357552005,84.25524394,27.75,52.75,10.26844444,53.78088976,41,,28.60587276,80.49382716,15.286304,4.4626,16.35044343,
CN(CCCc1ccc(Cl)cc1)c2nc(NCCc3ccc(O)cc3)nc(n2)N4CCN(CCO)CC4,0,17.99553494,5088,1136,15.75365875,21.793,40,29.97,525.2619011,71.84269,22.77023195,17.68095,6.209453366,75.5910517,25,45,9.849940828,45.44104746,37,,26.03695866,77.01234568,13.19361043,4.0299,15.6995372,
Oc1ccc(CCNc2nc(SCCCc3ccc(Cl)cc3)nc(n2)N4CCNCC4)cc1,0,16.15299968,3832,1014,14.06448337,20.257,36,26.07407407,484.1812082,59.41333,21.69941623,16.28095,6.044394119,67.8832431,21.75,41.75,8.864265928,43.78379816,33,,22.88225812,65.16049383,12.62715583,3.6122,13.92123133,
COc1cccc2OC(c3ccccc3)c4c(Br)c(NS(=O)(=O)C)ccc4c12,1,13.38716001,1821,485,12.93684438,15.308,31,21.24037461,459.0139912,54.3887,25.0503605,14.39998,5.807354922,57.53022959,17.25,39,4.396462019,47.04326468,28,,19.88854058,63.55555556,9.844586642,2.9192,8.625708885,
Oc1ccc(cc1)C(=C(CC(F)(F)F)c2ccccc2)c3ccc(O)cc3,0,12.83231846,1686,445,12.44398311,12.119,29,21.70273484,370.1180644,51.5157,29.76250033,12.52379,5.754887502,54.54862065,15.75,36.25,6.237401083,31.40953929,27,,19.44094682,76.41666667,8.274685099,2.6231,9.666864961,
Oc1ccc(cc1)C(=Cc2ccccc2)c3ccc(O)cc3,0,10.72034669,1056,366,9.443496534,11.784,24,16.84375,288.1150298,35.4741,25.75092608,10.66666,5.459431619,45.07352607,12.5,33,4.75,24.66418395,22,,15.36359655,50,7.077981877,2.2882,8.203125,
CC\C(=C(/c1ccccc1)\c2ccc(OCCN(C)C)cc2)\c3ccccc3,1,13.68587185,2141,644,11.55118947,13.66,30,22.68,371.2249145,50.40476,29.44780595,13.73333,5.807354922,56.94073342,16.25,36.25,6.76,31.16272975,28,,19.76937395,54,9.906848819,3.1747,12,
CCC(=C(c1ccc(O)cc1)c2ccc(O)cc2)c3ccccc3,0,11.68587185,1263,394,10.08744709,12.759,26,18.78106509,316.1463299,41.67193,29.76250033,11.66666,5.584962501,48.92197425,13.5,34,4.803402647,26.66418395,24,,16.94094682,53.16666667,8.06129178,2.57,9.087346939,
CCCCC(=C(c1ccc(O)cc1)c2ccc(O)cc2)c3ccccc3,0,12.68587185,1566,430,10.82142732,13.757,28,20.72704082,344.17763,46.58274,32.78587271,12.66666,5.700439718,52.95067057,14.5,35,5.75,28.66418395,26,,18.35516038,56.16666667,9.06129178,2.8518,10.51862673,
CC(=C(c1ccc(O)cc1)c2ccc(O)cc2)c3ccccc3,0,11.14786705,1148,379,9.874460941,12.26,25,17.8112,302.1306798,39.0431,27.2820581,11.16666,5.523561956,46.88371248,13,33.5,4.545454545,25.66418395,23,,16.23384004,51.66666667,7.500631608,2.4291,8.392733564,
CCCC(=C(c1ccc(O)cc1)c2ccc(O)cc2)c3ccccc3,0,12.18587185,1402,411,10.46787393,13.258,27,19.75308642,330.1619799,44.17108,31.5222002,12.16666,5.64385619,50.94110513,14,34.5,5.258488004,27.66418395,25,,17.6480536,54.66666667,8.56129178,2.7109,9.796296296,
CC\C(=C(/c1ccccc1)\c2ccc(O)cc2)\c3ccccc3,1,11.292025,1116,375,9.465585272,11.932,25,17.8112,300.1514153,38.74291,27.88277453,11.33333,5.523561956,47.06343353,12.75,32.75,4.545454545,25.33209198,23,,16.07070333,47.5,7.92700138,2.5113,8.909090909,
CC\C(=C(\CC)/c1ccc(O)cc1)\c2ccc(O)cc2,1,9.651397005,814,340,8.184109621,10.61,21,16.37188209,268.1463299,32.46356,21.16900602,9.66666,5.321928095,39.99787272,11,25.5,4.25,21.66418395,20,,14.53516943,45,6.961268349,2.244,7.852040816,
CCc1c(oc(c2ccc(O)cc2)c1c3ccc(OCCN4CCCCC4)cc3)c5ccc(O)cc5,0,17.61852484,4359,1095,15.46851357,19.192,40,27.5625,483.2409585,70.65118,38.52311763,17.23332,6.169925001,74.5177082,22.25,46.75,6.966398831,42.49109766,36,,24.90720215,75.66666667,12.82170625,3.7951,13.37520661,
Cc1c(c2ccc(O)cc2)n(Cc3ccc(OCCN4CCCCC4)cc3)c5ccc(O)cc15,0,16.58052004,3873,1053,14.92360012,18.596,38,25.64127424,456.2412929,64.63524,32.11060351,16.29999,6.087462841,70.53204084,21.5,44,6.297163261,40.32545951,34,,23.49298858,70.5,12.13645921,3.5974,12.02990388,
Cc1c(c2ccc(O)cc2)n(Cc3ccc(OCCN4CCCCCC4)cc3)c5ccc(O)cc15,0,17.08052004,4234,1089,15.27715351,19.095,39,26.60092045,470.2569429,67.30377,32.3583997,16.79999,6.129283017,72.59942374,22,44.5,6.716049383,41.32545951,35,,24.20009537,72,12.63645921,3.7383,12.69753086,
Cc1c(c2ccc(O)cc2)n(CCCCCCN3CCCC3)c4ccc(O)cc14,0,14.13103029,2481,749,12.5082533,16.11,32,22.203125,392.2463783,51.81278,24.12563742,13.96666,5.857980995,59.62718066,18,34,5.437517955,33.66127555,29,,20.2169677,58.66666667,10.96873933,3.2127,10.54338843,
Cc1cc(O)c2C(=O)c3c(O[C@@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@H]4O)cc(O)cc3C(=O)c2c1,0,14.63313671,2460,662,14.06832168,16.491,34,24.1349481,432.1056468,65.39721,18.99214698,13.8333,5.95419631,62.90179017,20,36.5,4.295105917,37.98510373,31,,22.61000151,91.83333333,9.408499948,2.8761,9.330621302,
Oc1ccc(cc1)C2=COc3cc(O)cc(O)c3C2=O,1,9.558550648,781,354,9.01156359,10.894,22,14.91735537,270.0528234,32.70318,18.35537094,9.16665,5.321928095,40.83697626,12.5,29,2.978907518,23.99255186,20,,14.2756564,55.83333333,5.829513822,1.8458,6.01171875,
Oc1ccc(cc1)C2=COc3cc(O)ccc3C2=O,1,9.147867046,694,337,8.462432056,10.422,21,13.95918367,254.0579088,29.61803,19.28856206,8.83332,5.247927513,38.99558464,11.75,27.75,2.88,22.66045989,19,,13.40541292,50.16666667,5.689240358,1.7871,5.78,
Cc1cc(O)c2C(=O)c3c(O)cc(O)cc3C(=O)c2c1,1,9.396754606,692,276,9.308363513,10.941,22,14.91735537,270.0528234,35.04737,14.63077315,9.16665,5.321928095,40.54940937,12.25,28.75,2.390625,23.66045989,20,,14.60192982,58.66666667,5.88846976,1.8458,5.325259516,
Oc1ccc2C(=O)c3cc(O)ccc3C(=O)c2c1,1,8.5753874,535,254,8.210100445,10.27,20,13.005,240.0422587,28.76968,18.33439801,8.33332,5.169925001,36.86744045,11,27,2.176870748,21.32836791,18,,12.86144284,51.33333333,5.331529629,1.6462,4.835555556,
Cc1ccc(cc1)S(=O)(=O)N2CCc3cc(O)ccc3C2c4ccc(OCCN5CCCC5)cc4,0,16.91385337,3895,1000,15.74370672,17.395,39,26.60092045,492.2082785,70.34298,31.18427252,16.96665,6.129283017,72.19397519,22,43.25,6.189511111,49.72322498,35,,24.41563832,76.82407407,12.63056107,3.7217,11.8067602,
Oc1ccc(cc1)C2CN(Cc3cc(O)ccc23)C(=O)c4ccccc4,0,12.61419354,1596,519,11.51465606,13.812,29,19.32223543,345.1364935,46.24621,30.21509161,12.39999,5.700439718,53.76586237,16,36.5,4.379504132,30.49482173,26,,18.09564736,61,8.5666367,2.6199,8.566329566,
Oc1ccc2C(N(CCc2c1)c3ccccc3)c4cccs4,1,10.82649984,959,364,9.603340462,12.245,25,15.5232,307.1030852,35.64756,23.69131944,11.06666,5.459431619,45.99007709,13.5,31,3.165347772,29.17020819,22,,14.94094682,43.31481481,8.376082403,2.3293,6.857142857,
Oc1ccc2C(N(CCc2c1)c3ccc(\C=C\C(=O)N4CCOCC4)cc3)c5ccccc5,0,16.18667319,3486,971,14.2923336,17.302,37,24.68371074,440.2099928,61.86947,35.07513994,15.79999,6.044394119,68.71185431,21,42.5,6.049149338,39.32545951,33,,22.6227451,70.5,11.47084894,3.4135,11.82314494,
