SMILES,MN,WTPT-5,nHBAcc_Lipinski,ETA_BetaP_s,WTPT-3,minHBa,ETA_dEpsilon_C,ETA_dEpsilon_A,ETA_Epsilon_4,ETA_Epsilon_1,TopoPSA,MLFER_S,nHBAcc,nN,maxsssCH,ETA_EtaP_F,ETA_Eta_F_L
Oc1ccc(cc1)C2=Cc3cc(O)ccc3C24C(=O)c5ccc(OCCN6CCCCC6)cc5C4=O,1,3.40781,6,0.63194,16.85648,2.389029,-0.07756,0.14883,0.5245,0.59577,87.07,3.751,3,1,0,1.14812,8.93797
Oc1cccc(c1)C2=Cc3cc(O)ccc3C24Cc5ccccc5C4,0,0,2,0.6,5.088679,9.932875,-0.03382,0.11896,0.48307,0.56822,40.46,2.25,0,0,0,1.00209,6.82895
CC(C)(C)[C@H]1Sc2cc(O)ccc2O[C@H]1c3ccc(OCCN4CCCCC4)cc3,0,3.406531,4,0.61667,15.39735,-1.40089,-0.0567,0.09471,0.49956,0.53757,67.23,2.098,1,1,0.53025,0.69881,5.2659
Oc1ccc2O[C@H]([C@H](Sc2c1)C3CCCCC3)c4ccc(OCCN5CCCCC5)cc4,0,3.406642,4,0.625,15.48178,-1.35497,-0.05412,0.08987,0.49958,0.53532,67.23,2.288,1,1,0.779575,0.66068,5.2659
Oc1ccc2O[C@H]([C@H](Sc2c1)c3cccnc3)c4ccc(OCCN5CCCCC5)cc4,1,6.437231,5,0.64063,18.51237,-1.54839,-0.0645,0.12399,0.50996,0.56944,80.12,2.776,2,2,0.327657,0.88093,7.30294
CC(C)C[C@H]1Sc2cc(O)ccc2O[C@H]1c3ccc(OCCN4CCCCC4)cc3,0,3.406568,4,0.61667,15.4251,-1.32616,-0.0567,0.09471,0.49956,0.53757,67.23,2.138,1,1,0.648012,0.68746,5.2659
Oc1ccc(C[C@H]2Sc3cc(O)ccc3O[C@H]2c4ccc(OCCN5CCCCC5)cc4)cc1,1,3.406625,5,0.625,17.99212,-1.52651,-0.06415,0.12199,0.50884,0.56667,87.46,2.901,1,1,0.411771,0.88135,7.48857
CC(C)[C@H]1Sc2cc(O)ccc2O[C@H]1c3ccc(OCCN4CCCCC4)cc3,0,3.406529,4,0.62069,15.39525,-1.32565,-0.05911,0.09957,0.50231,0.54278,67.23,2.138,1,1,0.583491,0.7,5.2659
Oc1cccc(c1)C2=Cc3cc(O)ccc3C24C(=O)c5ccccc5C4=O,1,0,4,0.61111,10.33228,9.894823,-0.07938,0.19027,0.52732,0.63821,74.6,3.192,2,0,0,1.22065,7.955
Oc1ccc2O[C@H]([C@H](Sc2c1)c3cccs3)c4ccc(OCCN5CCCCC5)cc4,0,3.406628,4,0.62903,18.51817,-1.38635,-0.06538,0.12366,0.51126,0.56954,95.47,2.503,1,1,0.56703,0.83103,6.79549
Oc1ccc2O[C@H]([C@@H](CC3CCCC3)Sc2c1)c4ccc(OCCN5CCCCC5)cc4,0,3.406617,4,0.625,15.4632,-1.33349,-0.05412,0.08987,0.49958,0.53532,67.23,2.288,1,1,0.860975,0.65718,5.2659
Oc1ccc(cc1)c2sc3cc(O)ccc3c2C(=O)c4ccc(OCCN5CCCCC5)cc4,1,3.406078,5,0.61765,17.39052,-1.76914,-0.06931,0.13947,0.51399,0.58415,98.24,3.289,2,1,0,1.05958,8.63069
Oc1ccc(cc1)[C@H]2Sc3cc(O)ccc3O[C@H]2c4ccc(COCCN5CCCCC5)cc4,1,3.402551,5,0.625,17.96683,-1.60335,-0.06415,0.12199,0.50884,0.56667,87.46,2.901,2,1,0.283836,0.88742,7.52417
Oc1ccc(cc1)[C@H]2Sc3cc(O)ccc3O[C@H]2c4ccc(cc4)C5=CCNCC5,0,3.009157,4,0.61667,14.52121,-1.58279,-0.05868,0.13605,0.50502,0.58239,87.02,2.809,1,1,0.299858,0.95885,7.46195
CN1CCN(CC1)c2ccc(cc2)[C@@H]3Oc4ccc(O)cc4S[C@@H]3c5ccc(O)cc5,1,6.689495,5,0.64516,18.20164,-1.58708,-0.06434,0.13073,0.51022,0.57661,81.47,2.936,2,2,0.300358,0.95212,7.51018
Oc1ccc(cc1)[C@H]2Sc3cc(O)ccc3O[C@H]2CCCN4CCCCC4,1,3.410739,4,0.62037,14.88825,-1.43437,-0.06459,0.11094,0.50859,0.55494,78.23,2.314,1,1,0.450237,0.70972,5.1206
Oc1ccc(cc1)[C@H]2Sc3cc(O)ccc3O[C@H]2c4ccc(CCCN5CCCCC5)cc4,1,3.406644,4,0.61364,14.9174,-1.5771,-0.0521,0.10755,0.49715,0.5526,78.23,2.716,1,1,0.314677,0.8582,7.04502
CN1CCCN(CC1)c2ccc(cc2)[C@@H]3Oc4ccc(O)cc4S[C@@H]3c5ccc(O)cc5,1,6.71546,5,0.64063,18.22782,-1.59412,-0.06181,0.12399,0.50727,0.56944,81.47,2.936,2,2,0.298691,0.94203,7.51575
Oc1ccc(cc1)[C@H]2Sc3cc(O)ccc3O[C@H]2c4ccc(cc4)C5CCNCC5,0,3.009157,4,0.61667,14.52121,-1.57141,-0.05868,0.12578,0.50502,0.57212,87.02,2.694,1,1,0.642172,0.90313,6.88843
CCN1CCN(CC1)c2ccc(cc2)[C@@H]3Oc4ccc(O)cc4S[C@@H]3c5ccc(O)cc5,1,6.828997,5,0.64063,18.34136,-1.59161,-0.06181,0.12399,0.50727,0.56944,81.47,2.936,2,2,0.29986,0.92982,7.49333
Oc1ccc(cc1)[C@H]2Sc3cc(O)ccc3O[C@H]2c4ccc(cc4)N5CCNCC5,1,6.473096,5,0.64167,17.98515,-1.58183,-0.06708,0.13823,0.51343,0.58457,90.26,2.749,2,2,0.300867,0.94557,7.34074
Oc1ccc(cc1)[C@H]2Sc3cc(O)ccc3O[C@H]2c4ccc(CN5CCCCC5)cc4,1,3.431199,4,0.62097,14.94251,-1.57436,-0.05631,0.11906,0.50219,0.56494,78.23,2.716,1,1,0.312819,0.89553,7.02045
Oc1ccc(cc1)[C@H]2Sc3cc(O)ccc3O[C@H]2c4ccc(cc4)N5CCCNCC5,1,6.506739,5,0.6371,18.01908,-1.58887,-0.06434,0.13073,0.51022,0.57661,90.26,2.851,2,2,0.299201,0.93471,7.34631
C[C@]12CC[C@H]3[C@@H](CCc4cc(O)ccc34)[C@@H]1CC[C@@H]2O,0,0,2,0.6,5.093017,9.677187,-0.04252,0.06852,0.49067,0.51667,40.46,1.364,1,0,0.738836,0.45556,2.46762
CCCCN(C)C(=O)CCCCCCCCCCS[C@@H]1[C@H](O)c2cc(O)ccc2[C@H]3CC[C@]4(C)[C@@H](O)CC[C@H]4[C@H]13,1,3.161918,5,0.58125,16.49854,-1.31308,-0.05503,0.06737,0.49538,0.50772,106.3,2.691,4,1,0.520728,0.46186,3.61363
CC\C(=C(/c1ccccc1)\c2ccc(\C=C\C(=O)O)cc2)\c3ccccc3,0,0,2,0.55556,4.782913,8.802782,-0.03345,0.11144,0.47371,0.5517,37.3,1.914,2,0,0,1.06049,7.72378
C[C@]12CC[C@H]3[C@@H]([C@H](Sc4ccc(Br)cc4)C(O)c5cc(O)ccc35)[C@@H]1CC[C@@H]2O,0,0,3,0.59483,13.41821,-1.53837,-0.06248,0.10733,0.50931,0.55417,85.99,2.435,2,0,0.498399,0.67819,4.63144
C[C@]12CC[C@H]3[C@@H]([C@@H](Cc4cc(O)ccc34)Sc5ccc(\C=C\C(=O)O)cc5)[C@@H]1CC[C@@H]2O,0,0,4,0.59375,13.08455,-1.43637,-0.06683,0.11476,0.51228,0.56022,103.06,2.397,3,0,0.67559,0.77518,5.79015
CN(C)C(=O)\C=C\c1ccc(S[C@@H]2Cc3cc(O)ccc3[C@H]4CC[C@]5(C)[C@@H](O)CC[C@H]5[C@H]24)cc1,0,2.957897,4,0.60294,13.73342,-1.41402,-0.05492,0.09542,0.4996,0.5401,86.07,2.91,3,1,0.70457,0.79247,6.1049
CCCCN(C)C(=O)CCCCCCCCCCS[C@H]1[C@@H]2[C@H](CC[C@]3(C)[C@@H](O)CC[C@@H]23)c4ccc(O)cc4C1=O,1,3.161918,5,0.58125,16.49854,-1.41262,-0.05898,0.07184,0.49933,0.51219,103.14,2.879,4,1,0.459895,0.51603,3.95492
C[C@]12CC[C@H]3[C@@H]([C@H](CCCCCCCCCS(=O)CCCC(F)(F)C(F)(F)F)Cc4cc(O)ccc34)[C@@H]1CC[C@@H]2O,0,0,3,0.58537,22.66299,10.14394,-0.12087,0.13867,0.56104,0.57884,76.74,2.467,2,0,0.592064,0.58148,4.20548
CCCCN(C)C(=O)CCCCCCCCCCS[C@@H]1Cc2cc(O)ccc2[C@H]3CC[C@]4(C)[C@@H](O)CC[C@H]4[C@H]13,0,3.16192,4,0.57692,13.89496,-0.99711,-0.04513,0.05698,0.48567,0.49752,86.07,2.408,3,1,0.896253,0.41361,3.37758
Oc1ccc(cc1)[C@H]2Sc3cc(O)ccc3S[C@H]2c4ccc(OCCN5CCCC5)cc4,1,3.355613,4,0.61719,17.9548,-1.42577,-0.06277,0.1263,0.50823,0.57175,103.53,2.905,1,1,0.636535,0.85163,6.96372
Oc1ccc2O[C@H]([C@H](Sc2c1)c3cccc(O)c3)c4ccc(OCCN5CCCC5)cc4,1,3.355612,5,0.63281,17.96115,-1.63937,-0.06926,0.13477,0.51472,0.58023,87.46,2.901,1,1,0.22531,0.92308,7.4627
Oc1ccc(cc1)[C@H]2Sc3cc(O)ccc3S[C@H]2c4ccc(OCCN5CCCCC5)cc4,1,3.406644,4,0.61364,18.01111,-1.43011,-0.06036,0.12,0.50542,0.56505,103.53,2.905,1,1,0.635378,0.83901,6.96372
Oc1cccc(c1)[C@H]2Sc3cc(O)ccc3S[C@H]2c4ccc(OCCN5CCCCC5)cc4,1,3.406643,4,0.61364,18.01746,-1.46548,-0.06036,0.12,0.50542,0.56505,103.53,2.905,1,1,0.60506,0.84238,6.96372
Oc1cccc(c1)[C@H]2Sc3cc(O)ccc3S[C@H]2c4ccc(OCCN5CCCCC5)c(Br)c4,1,3.405985,4,0.61029,20.58596,-1.46472,-0.06657,0.1279,0.51125,0.57258,103.53,3.074,1,1,0.636634,0.82292,6.96138
Oc1ccc(cc1)[C@H]2Sc3cc(O)ccc3S[C@H]2c4ccc(OCCN5CCCCC5)c(Br)c4,1,3.405985,4,0.61029,20.57963,-1.42936,-0.06657,0.1279,0.51125,0.57258,103.53,3.074,1,1,0.666952,0.81959,6.96138
Oc1ccc(cc1)[C@H]2Sc3cc(O)ccc3S[C@H]2c4ccc(OCCN5CCCC5)c(Br)c4,1,3.354954,4,0.61364,20.52291,-1.42501,-0.06923,0.13461,0.51429,0.57966,103.53,3.074,1,1,0.668109,0.83187,6.96138
Oc1cccc(c1)[C@H]2Sc3cc(O)ccc3O[C@H]2c4ccc(OCCN5CCCCC5)cc4,1,3.406643,5,0.62879,18.01746,-1.64372,-0.06661,0.12806,0.51167,0.57312,87.46,2.901,1,1,0.224324,0.90922,7.4627
CN(CCCc1ccc(Cl)cc1)c2nc(NCCc3ccc(O)cc3)nc(n2)N4CCNCC4,1,22.40862,8,0.67647,27.44602,0.914151,-0.07873,0.12882,0.5204,0.57049,89.44,3.737,7,7,0,0.95663,8.34334
CN(CCCc1ccc(F)cc1)c2nc(NCCc3ccc(O)cc3)nc(n2)N4CCNCC4,1,22.40862,8,0.67647,27.44602,2.043703,-0.08402,0.13532,0.52569,0.57698,89.44,3.655,7,7,0,0.97616,8.44479
CN(C[C@@H]1C[C@@H]1c2ccccc2)c3nc(NCCc4ccc(O)cc4)nc(n3)N5CCNCC5,1,22.40635,8,0.68382,24.92548,2.172754,-0.06467,0.11154,0.50935,0.55622,89.44,3.676,7,7,0.625955,0.93228,8.15477
CN(CCCc1ccc(Cl)cc1)c2nc(NCCc3ccc(O)cc3)nc(n2)N4CCN(Cc5csc(C)n5)CC4,1,25.95737,9,0.67683,33.97332,-0.89391,-0.07946,0.13071,0.52207,0.57332,121.78,4.399,8,8,0,1.01388,10.1402
CN(CCCc1ccc(Cl)cc1)c2nc(NCCc3ccc(O)cc3)nc(n2)N4CCN(CCO)CC4,1,22.84789,9,0.67568,30.32736,0.902201,-0.08426,0.13054,0.52522,0.57149,100.88,4.179,8,7,0,0.96638,8.80675
Oc1ccc(CCNc2nc(SCCCc3ccc(Cl)cc3)nc(n2)N4CCNCC4)cc1,1,19.13391,7,0.65909,27.27763,-1.30904,-0.08299,0.1374,0.52492,0.57934,111.5,3.51,6,6,0,0.88993,7.76559
COc1cccc2OC(c3ccccc3)c4c(Br)c(NS(=O)(=O)C)ccc4c12,1,2.972701,5,0.61607,19.61351,2.816135,-0.09079,0.1825,0.53438,0.62609,73.01,3.086,3,1,0,1.0916,7.52007
Oc1ccc(cc1)C(=C(CC(F)(F)F)c2ccccc2)c3ccc(O)cc3,1,0,2,0.58333,12.18491,9.558382,-0.10468,0.21602,0.54494,0.65628,40.46,1.923,0,0,0,1.15424,7.59036
Oc1ccc(cc1)C(=Cc2ccccc2)c3ccc(O)cc3,0,0,2,0.56818,5.052536,9.482624,-0.03623,0.12999,0.47816,0.57193,40.46,2.077,0,0,0,1.03908,6.82749
CC\C(=C(/c1ccccc1)\c2ccc(OCCN(C)C)cc2)\c3ccccc3,0,2.97931,2,0.58036,6.028716,2.123016,-0.02061,0.07696,0.46061,0.51696,12.47,1.866,1,1,0,0.97839,7.4073
CCC(=C(c1ccc(O)cc1)c2ccc(O)cc2)c3ccccc3,1,0,2,0.5625,5.053431,9.609122,-0.03278,0.11185,0.47396,0.55303,40.46,2.053,0,0,0,1.02931,6.82786
CCCCC(=C(c1ccc(O)cc1)c2ccc(O)cc2)c3ccccc3,0,0,2,0.55769,5.055349,9.693353,-0.02994,0.09813,0.47048,0.53867,40.46,2.053,0,0,0,0.99728,6.82786
CC(=C(c1ccc(O)cc1)c2ccc(O)cc2)c3ccccc3,1,0,2,0.56522,5.050874,9.551927,-0.03442,0.12025,0.47596,0.56179,40.46,2.053,0,0,0,1.04081,6.87739
CCCC(=C(c1ccc(O)cc1)c2ccc(O)cc2)c3ccccc3,0,0,2,0.56,5.05471,9.655295,-0.03129,0.10455,0.47214,0.54539,40.46,2.053,0,0,0,1.01437,6.82786
CC\C(=C(/c1ccccc1)\c2ccc(O)cc2)\c3ccccc3,1,0,1,0.55435,2.526633,9.605789,-0.01666,0.09024,0.4582,0.53178,20.23,1.755,0,0,0,0.99082,6.58738
CC\C(=C(\CC)/c1ccc(O)cc1)\c2ccc(O)cc2,1,0,2,0.55,5.042818,9.41068,-0.03861,0.1004,0.47654,0.53833,40.46,1.627,0,0,0,0.84815,4.92721
CCc1c(oc(c2ccc(O)cc2)c1c3ccc(OCCN4CCCCC4)cc3)c5ccc(O)cc5,0,3.406645,5,0.61806,14.78078,2.47783,-0.05234,0.11494,0.49634,0.55894,66.07,2.934,1,1,0,1.04586,8.88184
Cc1c(c2ccc(O)cc2)n(Cc3ccc(OCCN4CCCCC4)cc3)c5ccc(O)cc15,1,7.016543,5,0.63235,15.1824,2.280463,-0.04951,0.10835,0.49419,0.55303,57.86,3.008,2,2,0,1.00121,8.46127
Cc1c(c2ccc(O)cc2)n(Cc3ccc(OCCN4CCCCCC4)cc3)c5ccc(O)cc15,1,7.042088,5,0.62857,15.21055,2.283422,-0.04781,0.1035,0.49213,0.54783,57.86,3.008,2,2,0,0.98675,8.46127
Cc1c(c2ccc(O)cc2)n(CCCCCCN3CCCC3)c4ccc(O)cc14,1,6.929541,4,0.62069,12.00356,2.385871,-0.04257,0.08521,0.48578,0.52842,48.63,2.421,2,2,0,0.80816,6.10378
Cc1cc(O)c2C(=O)c3c(O[C@@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@H]4O)cc(O)cc3C(=O)c2c1,1,0,10,0.64516,26.64734,5.276898,-0.17599,0.25094,0.61852,0.69346,173.98,3.504,7,0,0,1.16054,7.41376
Oc1ccc(cc1)C2=COc3cc(O)cc(O)c3C2=O,1,0,5,0.625,13.34077,5.287427,-0.12608,0.25159,0.56894,0.69445,86.99,2.273,1,0,0,1.06254,6.01955
Oc1ccc(cc1)C2=COc3cc(O)ccc3C2=O,1,0,4,0.61842,10.79224,5.366593,-0.10467,0.22442,0.54806,0.66782,66.76,2.395,1,0,0,1.00966,5.76353
Cc1cc(O)c2C(=O)c3c(O)cc(O)cc3C(=O)c2c1,1,0,5,0.6125,12.84375,9.45736,-0.13889,0.25159,0.58175,0.69445,94.83,2.167,2,0,0,1.11665,5.78284
Oc1ccc2C(=O)c3cc(O)ccc3C(=O)c2c1,1,0,4,0.61111,10.28348,9.380843,-0.12618,0.25087,0.57018,0.69487,74.6,2.619,2,0,0,1.06213,5.4707
Cc1ccc(cc1)S(=O)(=O)N2CCc3cc(O)ccc3C2c4ccc(OCCN5CCCC5)cc4,1,6.891517,6,0.62857,21.10912,1.731764,-0.069,0.12632,0.51333,0.57065,78.46,3.064,4,2,0,1.04847,8.17019
Oc1ccc(cc1)C2CN(Cc3cc(O)ccc23)C(=O)c4ccccc4,1,3.520391,4,0.61538,11.19399,1.814118,-0.06349,0.14667,0.50794,0.59111,60.77,2.807,2,1,0,1.06386,7.38368
Oc1ccc2C(N(CCc2c1)c3ccccc3)c4cccs4,1,3.592046,2,0.61364,9.193125,-0.99334,-0.03939,0.11573,0.48606,0.56239,51.71,1.91,1,1,0.360159,0.91505,6.09023
Oc1ccc2C(N(CCc2c1)c3ccc(\C=C\C(=O)N4CCOCC4)cc3)c5ccccc5,1,6.999048,5,0.63636,15.09857,1.821227,-0.05618,0.12216,0.50123,0.56721,53.01,3.14,4,2,0.083185,1.03457,8.62931
Oc1ccc2C(N(CCc2c1)S(=O)(=O)c3cccc4ccccc34)c5ccc(OCCN6CCCC6)cc5,1,6.899826,6,0.63158,21.17517,1.756672,-0.06399,0.13004,0.51015,0.57619,78.46,3.43,4,2,0,1.12994,9.35174
CN(C)C(=O)\C=C\c1ccc(cc1)N2CCc3cc(O)ccc3C2c4ccccc4,1,6.571127,4,0.61667,11.5953,1.553866,-0.04574,0.1131,0.4886,0.55595,43.78,2.98,3,2,0.090056,1.06878,8.2086
Oc1ccc2C(C(CCc2c1)c3ccccc3)c4ccc(OCCN5CCCC5)cc4,0,3.355681,3,0.6129,8.996366,2.479367,-0.03328,0.0853,0.47917,0.53118,32.7,2.31,1,1,0.43072,0.88172,7.09051
Oc1ccc(cc1)C2CN(Cc3cc(O)ccc23)S(=O)(=O)c4ccccc4,1,3.500236,5,0.61111,17.1319,1.59421,-0.08308,0.17194,0.52708,0.61594,86.22,2.827,3,1,0,1.12221,7.40437
Oc1ccc2C(N(Cc3ccc4OCOc4c3)CCc2c1)c5ccc(OCCN6CCCC6)cc5,1,6.94891,6,0.66429,18.74229,2.469002,-0.06283,0.1193,0.5102,0.56667,54.4,3.406,2,2,0.100392,0.9346,8.26714
Oc1ccc2C(CC3CCCCC3)N(CCc2c1)c4ccccc4,1,3.590307,2,0.60417,6.140681,2.591257,-0.02544,0.06566,0.4709,0.51111,23.47,1.695,1,1,0.842329,0.68459,4.57475
Oc1ccc2C(Cc3ccccc3)N(CCc2c1)c4ccccc4,1,3.590307,2,0.60417,6.140681,2.492441,-0.02544,0.0938,0.4709,0.53926,23.47,2.01,1,1,0.29088,0.92693,6.55693
Oc1ccc2C(N(CCc2c1)C(=O)c3ccccc3)c4ccc(OCCN5CCCC5)cc4,1,6.911042,5,0.63636,15.15257,1.942412,-0.05618,0.11368,0.50123,0.55873,53.01,3.068,3,2,0,0.99766,8.10639
Oc1ccc(cc1)C2CN(Cc3ccccc3)Cc4cc(O)ccc24,1,3.546298,3,0.61,8.625302,2.41134,-0.04153,0.11449,0.48646,0.55942,43.7,2.336,1,1,0.230243,0.96849,6.89815
Oc1ccc2C(C3CCCCC3)N(CCc2c1)c4ccccc4,1,3.59788,2,0.6087,6.148912,2.606515,-0.02675,0.06994,0.47278,0.51597,23.47,1.695,1,1,0.729212,0.70534,4.56919
Oc1ccc(cc1)C2CN(Cc3cc(O)ccc23)S(=O)(=O)c4cccc5ccccc45,1,3.509183,5,0.6129,17.20309,1.628377,-0.07214,0.16437,0.51802,0.61026,86.22,3.169,3,1,0,1.19514,8.62652
Oc1ccc2C(N(CCc2c1)C(=O)C(F)(F)F)c3ccc(Br)cc3,1,3.504456,3,0.625,18.18057,0.884212,-0.16378,0.26269,0.60496,0.70386,40.54,2.165,2,1,0,1.01281,5.91184
Oc1ccc(cc1)C2CN(Cc3cc(O)ccc23)C(=O)C(F)(F)F,1,3.474069,4,0.63542,18.13993,0.735414,-0.17168,0.27048,0.61286,0.71165,60.77,2.251,2,1,0,1.06411,6.18997
Oc1ccc2C(N(CCc2c1)S(=O)(=O)c3ccccc3)c4ccc(OCCN5CCCC5)cc4,1,6.890872,6,0.63235,21.104,1.722505,-0.07158,0.1324,0.51626,0.57708,78.46,3.088,4,2,0,1.05267,8.12959
Oc1ccc(cc1)[C@H]2N(CCc3cc(O)ccc23)C(=O)C(F)(F)F,1,3.504456,4,0.63542,18.18057,0.783494,-0.17168,0.27048,0.61286,0.71165,60.77,2.251,2,1,0,1.07405,6.1702
Oc1ccc2C(N(CCc2c1)S(=O)(=O)c3ccc4ccccc4c3)c5ccc(OCCN6CCCC6)cc5,1,6.89759,6,0.63158,21.15739,1.745097,-0.06399,0.13004,0.51015,0.57619,78.46,3.43,4,2,0,1.11956,9.33582
Oc1ccc2C(N(CCc2c1)C(=O)C(F)(F)F)c3ccccc3,1,3.503572,3,0.63043,15.65178,0.855867,-0.15389,0.24971,0.59543,0.69125,40.54,1.953,2,1,0,1.03622,5.92971
CCCc1ccc(cc1)S(=O)(=O)N2CCc3cc(O)ccc3C2c4ccc(OCCN5CCCC5)cc4,1,6.89401,6,0.62162,21.12894,1.749781,-0.06437,0.11567,0.50806,0.55936,78.46,3.064,4,2,0,1.02604,8.11179
Oc1ccc2C(N(CCc2c1)c3ccccc3)c4ccccc4,1,3.59788,2,0.6087,6.148912,2.45309,-0.02675,0.10079,0.47278,0.54683,23.47,2.01,1,1,0.183287,0.95854,6.51696
Oc1ccc2C(N(CCc2c1)C(=O)C(F)(F)F)c3cccs3,1,3.497738,3,0.63636,18.68907,-1.48521,-0.18404,0.27991,0.62597,0.72185,68.78,1.853,2,1,0,0.99298,5.50298
Oc1ccc2C(N(CCc2c1)c3ccccc3)c4ccc(OCCN5CCCC5)cc4,1,6.959066,4,0.6371,12.59975,2.460931,-0.04062,0.09565,0.4865,0.54153,35.94,2.569,2,2,0.116111,0.92427,7.49993
CC(C)C1N(CCc2cc(O)ccc12)c3ccccc3,1,3.549033,2,0.6,6.095814,2.490127,-0.0301,0.08072,0.47296,0.52358,23.47,1.545,1,1,0.526666,0.76743,4.56919
Oc1ccc2C(N(Cc3ccccc3)CCc2c1)c4ccc(OCCN5CCCC5)cc4,1,6.93697,4,0.63281,12.57708,2.476393,-0.0391,0.091,0.48455,0.53646,35.94,2.597,2,2,0.165006,0.90912,7.62087
Oc1ccc2C(N(CCc2c1)C(=O)C(F)(F)F)c3ccc(OCCN4CCCC4)cc3,1,6.864683,5,0.65323,22.10366,0.863709,-0.13457,0.19395,0.5771,0.63648,53.01,2.512,3,2,0,0.98851,6.91269
CCOC(=O)N1CCc2cc(O)ccc2C1c3ccc(OCCN4CCCC4)cc3,1,6.876367,6,0.65,17.92772,1.769959,-0.07751,0.12159,0.52037,0.56444,62.24,2.014,4,2,0,0.88201,6.59769
Oc1ccc(cc1)[C@@H]2Sc3cc(O)c(F)cc3O[C@@H]2c4ccc(OCCN5CCCCC5)cc4,1,3.406643,5,0.63235,20.53834,-1.79924,-0.08591,0.15286,0.5306,0.59754,87.46,2.871,1,1,0.147066,0.94858,7.73214
Oc1ccc(cc1)[C@@H]2Sc3cc(O)ccc3O[C@H]2c4ccc(OCCN5CCCCC5)cc4,1,3.406644,5,0.62879,18.01111,-1.60835,-0.06661,0.12806,0.51167,0.57312,87.46,2.901,1,1,0.273861,0.90568,7.4627
Oc1ccc(cc1)C2=Nc3c(O)cc(O)cc3OC2,1,3.169,5,0.64474,13.92082,5.469093,-0.1201,0.22549,0.56349,0.66889,82.28,2.027,1,1,0,0.97389,5.61913
Cc1ccc(cc1)N2CCc3cc(O)ccc3C2(C)c4ccc(OCCN5CCCCC5)cc4,1,6.967669,4,0.625,12.60671,2.498056,-0.03638,0.08294,0.48106,0.52762,35.94,2.505,2,2,0,0.92011,7.50949
Oc1ccc(cc1)[C@@H]2Sc3c(Cl)c(O)ccc3O[C@@H]2c4ccc(OCCN5CCCCC5)cc4,1,3.406643,5,0.63235,20.55398,-1.61491,-0.08056,0.14595,0.52524,0.59063,87.46,2.79,1,1,0.294201,0.92677,7.64622
CN(C)CCOc1ccc(cc1)[C@@H]2Oc3ccc(O)cc3S[C@@H]2c4cccc(O)c4,0,2.979382,5,0.625,17.54599,-1.63624,-0.07267,0.1432,0.51553,0.58606,87.46,2.751,1,1,0.219361,0.98257,7.54013
