VP-0,CrippenMR,VP-1,MLFER_L,WPATH,Kier1,VABC,LipoaffinityIndex,ETA_Beta_s,AMR,Kier2,SP-0,SP-1,ECCEN,bpol,nAtom
15.686,105.605,9.14767,12.828,1435,21.3018,346.808,9.22436,14.5,104.47,9.7963,18.4494,11.9787,459,35.237,54
16.6332,109.527,9.5421,12.693,1549,22.2908,364.104,10.192,15.25,109.765,9.9723,19.3196,12.4062,474,38.7434,57
19.3192,133.885,11.6554,17.173,3020,25.1037,419.327,14.526,18.75,141.693,11.6202,22.5538,15.5688,840,38.6518,65
19.9874,144.553,12.0881,18.942,4179,26.6009,430.396,12.0284,22.75,146.969,13.1812,24.037,17.153,1074,37.2954,61
19.2508,138.824,10.9419,19.201,3460,26.0741,410.367,11.6279,21.25,144.796,12.808,23.2085,15.9912,921,34.9462,58
20.9485,147.021,12.4769,18.951,4538,27.5625,447.692,13.2613,23.5,152.007,13.8752,24.7441,17.691,1142,41.3978,64
17.6391,120.701,10.3936,15.587,3041,23.168,375.082,10.4097,20,123.416,11.7438,20.7609,14.691,943,37.025,54
18.2249,122.815,10.3078,15.231,3046,24.6387,387.439,10.7834,19.5,127.881,12.8889,21.3467,14.6052,905,39.2114,56
16.8106,113.581,9.15553,14.233,2458,22.68,352.847,9.59581,18.5,119.562,11.4075,19.9325,13.5292,796,34.8386,50
18.3166,124.206,10.3995,16.844,3046,24.6387,389.645,11.1441,19.5,129.031,12.8889,21.3467,14.6052,905,39.0486,57
18.0237,128.712,10.5502,19.037,3275,24.1349,385.649,9.61524,20.75,126.057,11.9234,21.6312,15.0849,974,35.471,55
39.1793,249.37,23.4384,33.143,23138,54.3347,909.527,14.1504,39.5,252.112,24.9011,47.1638,30.9627,3231,87.8577,136
38.3175,243.014,22.7457,32.038,21625,53.3535,889.595,12.7347,39,247.859,24.2172,46.4567,30.4627,3063,83.4849,131
20.9781,139.48,13.2541,15.769,4548,27.5625,495.506,10.5888,21.25,144.485,12.0273,25.1752,17.3946,1201,40.043,70
58.5933,369.598,33.4176,62.594,71616,97.078,1389.29,3.58301,63.75,335.426,52.2191,76.1572,47.5063,5606,137.737,206
58.4779,369.336,33.7303,61.76,66431,95.2022,1375.48,1.79822,64.75,332.283,50.7272,75.5714,47.5921,5150,137.439,206
59.3482,373.883,34.1242,62.031,67587,96.2003,1392.77,2.24709,65.25,338.734,50.8023,76.4416,47.986,5193,139.625,209
59.3482,373.883,34.1242,62.031,67519,96.2003,1392.77,2.2264,65.25,338.734,50.8023,76.4416,47.986,5185,139.625,209
57.1791,358.614,32.9345,62.026,63277,93.2062,1344.98,1.13304,63.25,325.45,49.1279,74.1572,46.5921,5050,133.364,200
57.8042,362.44,33.0253,60.458,68944,95.0796,1355.88,1.94741,63.25,324.974,52.1274,74.6382,46.581,5488,137.439,204
59.3482,373.883,34.1242,62.031,67587,96.2003,1392.77,2.24709,65.25,338.734,50.8023,76.4416,47.986,5193,139.625,209
19.2077,131.667,10.8796,17.036,3406,27.5853,433.932,11.013,19.75,142.49,13.9212,23.7943,15.9223,864,36.9902,63
22.0361,150.12,12.8367,19.032,5038,31.5266,503.116,13.2336,21.75,157.728,16.955,26.6227,17.9054,1184,45.7359,75
20.6219,140.886,11.8367,18.034,4152,29.5544,468.524,11.9885,20.75,151.905,15.4211,25.2085,16.9054,1008,41.363,69
22.4443,153.972,12.9759,19.392,5536,32.5138,511.906,12.5602,22.75,159.742,17.7337,27.3299,18.4054,1278,47.6519,76
18.9651,133.534,11.7363,16.34,3225,25.1037,430.227,13.6618,19,142.159,13.1853,22.1752,15.7247,864,39.9718,65
