SMILES,hERG,VP-0,CrippenMR,VP-1,MLFER_L,WPATH,Kier1,VABC,LipoaffinityIndex,ETA_Beta_s,AMR,Kier2,SP-0,SP-1,ECCEN,bpol,nAtom
Oc1ccc2O[C@H]([C@@H](CC3CCCC3)Sc2c1)c4ccc(OCCN5CCCCC5)cc4,1,19.69445,127.217,13.2388,16.81,3313,23.7284,432.0235,12.54064,20,130.5706,11.62016,21.7525,15.74232,949,46.35425,67
Oc1ccc(cc1)c2sc3cc(O)ccc3c2C(=O)c4ccc(OCCN5CCCCC5)cc4,0,19.68348,136.4426,12.44833,18.949,3843,25.64127,423.1274,9.83715,21,144.7399,12.0299,23.49299,16.58052,1047,36.65059,61
Oc1ccc(cc1)[C@H]2Sc3cc(O)ccc3O[C@H]2c4ccc(COCCN5CCCCC5)cc4,1,20.04529,136.7378,12.87756,18.161,3960,25.64127,439.3003,11.14599,21.25,144.0948,12.49704,23.32985,16.653,1066,41.98142,65
Oc1ccc(cc1)[C@H]2Sc3cc(O)ccc3O[C@H]2c4ccc(cc4)C5=CCNCC5,1,17.23164,121.9485,11.00555,16.567,2482,21.82526,375.9857,8.922186,18.5,133.5566,9.868056,20.50142,14.66984,730,29.99976,53
CN1CCN(CC1)c2ccc(cc2)[C@@H]3Oc4ccc(O)cc4S[C@@H]3c5ccc(O)cc5,1,18.25583,127.2568,11.4337,16.995,2756,22.77551,389.6189,10.05316,20,138.1712,10.092,21.37167,15.06368,803,36.57938,57
Oc1ccc(cc1)[C@H]2Sc3cc(O)ccc3O[C@H]2CCCN4CCCCC4,1,16.32764,112.4548,10.74486,14.677,1934,20.28,357.9,9.066214,16.75,110.3589,9.666865,18.63962,13.18667,605,35.69259,54
Oc1ccc(cc1)[C@H]2Sc3cc(O)ccc3O[C@H]2c4ccc(CCCN5CCCCC5)cc4,1,19.63704,136.1588,12.80021,17.801,3542,24.68371,430.5101,12.06594,20.25,140.8283,11.82314,22.62275,16.153,977,40.06542,64
CN1CCCN(CC1)c2ccc(cc2)[C@@H]3Oc4ccc(O)cc4S[C@@H]3c5ccc(O)cc5,1,18.96293,131.8738,11.9337,17.494,3010,23.7284,406.9149,10.69868,20.5,141.0828,10.72664,22.07878,15.56368,831,38.7658,60
Oc1ccc(cc1)[C@H]2Sc3cc(O)ccc3O[C@H]2c4ccc(cc4)C5CCNCC5,1,17.43875,122.3915,11.31025,16.422,2482,21.82526,378.6221,9.657131,18.5,128.6323,9.868056,20.50142,14.66984,730,32.18618,55
CCN1CCN(CC1)c2ccc(cc2)[C@@H]3Oc4ccc(O)cc4S[C@@H]3c5ccc(O)cc5,1,18.96293,131.8738,12.00982,17.494,3061,23.7284,406.9149,10.66655,20.5,142.465,10.72664,22.07878,15.60169,878,38.7658,60
Oc1ccc(cc1)[C@H]2Sc3cc(O)ccc3O[C@H]2c4ccc(cc4)N5CCNCC5,1,17.30861,122.6295,11.06114,16.966,2482,21.82526,372.3229,9.001385,19.25,132.8765,9.868056,20.50142,14.66984,730,33.07297,54
Oc1ccc(cc1)[C@H]2Sc3cc(O)ccc3O[C@H]2c4ccc(CN5CCCCC5)cc4,1,18.22283,125.9188,11.80021,16.803,2804,22.77551,395.9181,10.70479,19.25,133.0513,10.50812,21.20853,15.153,809,35.69259,58
Oc1ccc(cc1)[C@H]2Sc3cc(O)ccc3O[C@H]2c4ccc(cc4)N5CCCNCC5,1,18.01572,127.2465,11.56114,17.403,2732,22.77551,389.6189,9.632847,19.75,135.7881,10.50812,21.20853,15.16984,758,35.25938,57
C[C@]12CC[C@H]3[C@@H](CCc4cc(O)ccc34)[C@@H]1CC[C@@H]2O,1,12.17852,81.1498,8.092632,10.307,724,13.64839,269.2294,7.627875,12,80.1526,4.75,13.90541,9.593172,336,26.23697,44
CCCCN(C)C(=O)CCCCCCCCCCS[C@@H]1[C@H](O)c2cc(O)ccc2[C@H]3CC[C@]4(C)[C@@H](O)CC[C@H]4[C@H]13,0,26.13882,168.1784,17.36934,21.243,6828,32.90427,590.415,14.05334,23.25,150.1158,15.64333,28.7001,19.27391,1556,65.34439,95
CC\C(=C(/c1ccccc1)\c2ccc(\C=C\C(=O)O)cc2)\c3ccccc3,1,15.30017,112.5298,9.041809,13.62,1880,21.70273,357.1296,11.43948,15,123.6787,11.25346,19.06227,13.18587,577,25.00855,49
C[C@]12CC[C@H]3[C@@H]([C@H](Sc4ccc(Br)cc4)C(O)c5cc(O)ccc35)[C@@H]1CC[C@@H]2O,1,18.86433,116.4496,12.1672,16.213,1972,20.87787,388.4224,8.435213,17.25,125.807,7.847751,20.33613,13.88087,573,33.08659,56
C[C@]12CC[C@H]3[C@@H]([C@@H](Cc4cc(O)ccc34)Sc5ccc(\C=C\C(=O)O)cc5)[C@@H]1CC[C@@H]2O,1,19.09307,129.0514,12.40523,16.999,2911,23.7284,424.544,10.10014,19,133.4184,9.567901,22.45745,15.34719,805,36.03421,62
CN(C)C(=O)\C=C\c1ccc(S[C@@H]2Cc3cc(O)ccc3[C@H]4CC[C@]5(C)[C@@H](O)CC[C@H]5[C@H]24)cc1,1,21.09307,140.1096,13.29965,18.341,3559,25.64127,461.3425,11.98926,20.5,145.034,10.40074,24.0348,16.25788,915,43.48025,69
CCCCN(C)C(=O)CCCCCCCCCCS[C@H]1[C@@H]2[C@H](CC[C@]3(C)[C@@H](O)CC[C@@H]23)c4ccc(O)cc4C1=O,0,26.0225,168.1056,17.23193,21.386,6828,32.90427,587.7785,13.6076,23.25,149.4242,15.64333,28.7001,19.27391,1556,64.11597,93
C[C@]12CC[C@H]3[C@@H]([C@H](CCCCCCCCCS(=O)CCCC(F)(F)C(F)(F)F)Cc4cc(O)ccc34)[C@@H]1CC[C@@H]2O,1,24.69923,152.7871,16.46295,18.765,7474,33.8843,569.0103,16.48024,24,139.5113,14.4,29.83829,19.33215,1538,61.77373,88
CCCCN(C)C(=O)CCCCCCCCCCS[C@@H]1Cc2cc(O)ccc2[C@H]3CC[C@]4(C)[C@@H](O)CC[C@H]4[C@H]13,1,25.82136,167.7006,17.25093,20.766,6524,31.92517,581.6247,16.41621,22.5,149.0187,15.46433,27.82985,18.84639,1519,65.34439,94
Oc1ccc(cc1)[C@H]2Sc3cc(O)ccc3S[C@H]2c4ccc(OCCN5CCCC5)cc4,1,19.44757,127.5358,12.81911,18.062,3208,23.7284,414.4271,10.61514,19.75,143.1932,11.16,21.91564,15.653,895,37.97259,59
Oc1ccc2O[C@H]([C@H](Sc2c1)c3cccc(O)c3)c4ccc(OCCN5CCCC5)cc4,1,18.63108,128.7158,11.93945,17.163,3183,23.7284,404.7083,9.816994,20.25,137.0188,11.16,21.91564,15.653,893,37.60859,59
Oc1ccc(cc1)[C@H]2Sc3cc(O)ccc3S[C@H]2c4ccc(OCCN5CCCCC5)cc4,1,20.15468,132.1528,13.31911,18.561,3542,24.68371,431.7231,11.28052,20.25,146.1048,11.82314,22.62275,16.153,977,40.159,62
Oc1cccc(c1)[C@H]2Sc3cc(O)ccc3S[C@H]2c4ccc(OCCN5CCCCC5)cc4,1,20.15468,132.1528,13.31911,18.561,3516,24.68371,431.7231,11.16456,20.25,146.1048,11.82314,22.62275,16.153,975,40.159,62
Oc1cccc(c1)[C@H]2Sc3cc(O)ccc3S[C@H]2c4ccc(OCCN5CCCCC5)c(Br)c4,1,22.04129,139.8528,14.21775,19.732,3717,25.64127,451.0067,11.21503,20.75,153.639,12.0299,23.49299,16.56368,994,40.3558,62
Oc1ccc(cc1)[C@H]2Sc3cc(O)ccc3S[C@H]2c4ccc(OCCN5CCCCC5)c(Br)c4,1,22.04129,139.8528,14.21775,19.732,3744,25.64127,451.0067,11.33669,20.75,153.639,12.0299,23.49299,16.56368,996,40.3558,62
Oc1ccc(cc1)[C@H]2Sc3cc(O)ccc3S[C@H]2c4ccc(OCCN5CCCC5)c(Br)c4,1,21.33418,135.2358,13.71775,19.233,3401,24.68371,433.7107,10.67195,20.25,150.7274,11.37278,22.78588,16.06368,914,38.16938,59
Oc1cccc(c1)[C@H]2Sc3cc(O)ccc3O[C@H]2c4ccc(OCCN5CCCCC5)cc4,1,19.33818,133.3328,12.43945,17.662,3516,24.68371,422.0043,10.47628,20.75,139.9304,11.82314,22.62275,16.153,975,39.795,62
CN(CCCc1ccc(Cl)cc1)c2nc(NCCc3ccc(O)cc3)nc(n2)N4CCNCC4,0,20.29994,142.9974,12.13581,20.487,4037,27.04602,436.0807,11.20707,23,140.7909,14.07414,23.7525,16.56368,1037,44.64262,66
CN(CCCc1ccc(F)cc1)c2nc(NCCc3ccc(O)cc3)nc(n2)N4CCNCC4,0,19.54401,137.8422,11.75784,19.671,4037,27.04602,426.9372,11.25697,23,136.2025,14.07414,23.7525,16.56368,1037,45.42562,66
CN(C[C@@H]1C[C@@H]1c2ccccc2)c3nc(NCCc4ccc(O)cc4)nc(n3)N5CCNCC5,1,19.69099,140.5144,12.15138,20.062,3909,25.64127,425.8092,11.3433,23.25,139.5388,12.49704,23.32985,16.653,1011,45.31583,67
CN(CCCc1ccc(Cl)cc1)c2nc(NCCc3ccc(O)cc3)nc(n2)N4CCN(Cc5csc(C)n5)CC4,1,25.20357,168.5277,15.2863,24.154,6793,32.39506,523.5371,13.20868,27.75,173.4056,16.35044,28.60587,19.90702,1354,55.02866,78
CN(CCCc1ccc(Cl)cc1)c2nc(NCCc3ccc(O)cc3)nc(n2)N4CCN(CCO)CC4,1,22.10858,153.6535,13.19361,21.793,5088,29.97,479.4629,11.40051,25,152.3779,15.69954,26.03696,17.99553,1136,50.33545,73
Oc1ccc(CCNc2nc(SCCCc3ccc(Cl)cc3)nc(n2)N4CCNCC4)cc1,0,20.07747,140.4514,12.62716,20.257,3832,26.07407,426.297,10.23668,21.75,140.3877,13.92123,22.88226,16.153,1014,41.663,62
COc1cccc2OC(c3ccccc3)c4c(Br)c(NS(=O)(=O)C)ccc4c12,1,17.0598,108.3847,9.844587,15.308,1821,21.24037,349.8685,8.40639,17.25,122.6754,8.625709,19.88854,13.38716,485,31.93573,46
Oc1ccc(cc1)C(=C(CC(F)(F)F)c2ccccc2)c3ccc(O)cc3,0,14.24098,97.3896,8.274685,12.119,1686,21.70273,328.7173,10.26674,15.75,111.1829,9.666865,19.44095,12.83232,445,22.19352,44
Oc1ccc(cc1)C(=Cc2ccccc2)c3ccc(O)cc3,0,11.97733,90.1938,7.077982,11.784,1056,16.84375,275.9226,8.42866,12.5,101.5166,8.203125,15.3636,10.72035,366,17.49131,38
CC\C(=C(/c1ccccc1)\c2ccc(OCCN(C)C)cc2)\c3ccccc3,1,17.05969,119.789,9.906849,13.66,2141,22.68,381.9051,13.44686,16.25,132.0986,12,19.76937,13.68587,644,35.599,57
CCC(=C(c1ccc(O)cc1)c2ccc(O)cc2)c3ccccc3,0,13.60709,99.4278,8.061292,12.759,1263,18.78107,310.5146,9.192363,13.5,110.647,9.087347,16.94095,11.68587,394,21.86414,44
CCCCC(=C(c1ccc(O)cc1)c2ccc(O)cc2)c3ccccc3,1,15.0213,108.6618,9.061292,13.757,1566,20.72704,345.1066,10.42656,14.5,116.8838,10.51863,18.35516,12.68587,430,26.23697,50
CC(=C(c1ccc(O)cc1)c2ccc(O)cc2)c3ccccc3,0,12.89998,94.8108,7.500632,12.26,1148,17.8112,293.2186,8.672469,13,105.7986,8.392734,16.23384,11.14787,379,19.67773,41
CCCC(=C(c1ccc(O)cc1)c2ccc(O)cc2)c3ccccc3,0,14.31419,104.0448,8.561292,13.258,1402,19.75309,327.8106,9.791317,14,113.9722,9.796296,17.64805,12.18587,411,24.05055,47
CC\C(=C(/c1ccccc1)\c2ccc(O)cc2)\c3ccccc3,0,13.23722,97.763,7.927001,11.932,1116,17.8112,301.7244,10.29976,12.75,109.0415,8.909091,16.0707,11.29203,375,21.86414,43
CC\C(=C(\CC)/c1ccc(O)cc1)\c2ccc(O)cc2,0,11.92744,84.1748,6.961268,10.61,814,16.37188,272.4965,7.330748,11,91.2618,7.852041,14.53517,9.651397,340,21.86414,40
CCc1c(oc(c2ccc(O)cc2)c1c3ccc(OCCN4CCCCC4)cc3)c5ccc(O)cc5,1,20.74319,150.7438,12.82171,19.192,4359,27.5625,456.5063,13.37172,22.25,152.6685,13.37521,24.9072,17.61852,1095,41.88783,69
Cc1c(c2ccc(O)cc2)n(Cc3ccc(OCCN4CCCCC4)cc3)c5ccc(O)cc15,1,19.70481,139.2628,12.13646,18.596,3873,25.64127,426.7573,13.2993,21.5,144.7127,12.0299,23.49299,16.58052,1053,40.85862,66
Cc1c(c2ccc(O)cc2)n(Cc3ccc(OCCN4CCCCCC4)cc3)c5ccc(O)cc15,1,20.41192,143.8798,12.63646,19.095,4234,26.60092,444.0533,13.96445,22,147.6243,12.69753,24.2001,17.08052,1089,43.04504,69
Cc1c(c2ccc(O)cc2)n(CCCCCCN3CCCC3)c4ccc(O)cc14,1,17.40137,122.8298,10.96874,16.11,2481,22.20313,379.949,12.42349,18,118.0528,10.54339,20.21697,14.13103,749,38.94262,61
Cc1cc(O)c2C(=O)c3c(O[C@@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@H]4O)cc(O)cc3C(=O)c2c1,0,16.21953,104.1353,9.4085,16.491,2460,24.13495,367.3569,-1.64548,20,109.5218,9.330621,22.61,14.63314,662,27.61214,51
Oc1ccc(cc1)C2=COc3cc(O)cc(O)c3C2=O,0,10.19959,74.8344,5.829514,10.894,781,14.91736,231.9863,2.933413,12.5,78.9209,6.011719,14.27566,9.558551,354,13.80607,30
Oc1ccc(cc1)C2=COc3cc(O)ccc3C2=O,0,9.829726,73.1696,5.68924,10.422,694,13.95918,223.1961,3.861342,11.75,77.3154,5.78,13.40541,9.147867,337,13.80607,29
Cc1cc(O)c2C(=O)c3c(O)cc(O)cc3C(=O)c2c1,0,10.46754,71.4049,5.88847,10.941,692,14.91736,231.9863,2.237497,12.25,76.8217,5.32526,14.60193,9.396755,276,12.84807,30
Oc1ccc2C(=O)c3cc(O)ccc3C(=O)c2c1,0,9.175025,66.1001,5.33153,10.27,535,13.005,205.9001,2.66941,11,70.9342,4.835556,12.86144,8.575387,254,10.66166,26
Cc1ccc(cc1)S(=O)(=O)N2CCc3cc(O)ccc3C2c4ccc(OCCN5CCCC5)cc4,1,20.26343,129.2298,12.63056,17.395,3895,26.60092,450.2971,11.35889,22,146.6426,11.80676,24.41564,16.91385,1000,47.33462,67
Oc1ccc(cc1)C2CN(Cc3cc(O)ccc23)C(=O)c4ccccc4,1,14.16966,100.5776,8.566637,13.812,1596,19.32224,317.9451,7.791084,16,111.6368,8.56633,18.09565,12.61419,519,23.70893,45
Oc1ccc2C(N(CCc2c1)c3ccccc3)c4cccs4,0,12.96159,89.717,8.376082,12.245,959,15.5232,272.2587,8.562813,13.5,102.8646,6.857143,14.94095,10.8265,364,22.84452,39
Oc1ccc2C(N(CCc2c1)c3ccc(\C=C\C(=O)N4CCOCC4)cc3)c5ccccc5,1,18.56103,130.7928,11.47085,17.302,3486,24.68371,417.7249,11.64042,21,142.533,11.82314,22.62275,16.18667,971,37.4438,61
Oc1ccc2C(N(CCc2c1)S(=O)(=O)c3cccc4ccccc34)c5ccc(OCCN6CCCC6)cc5,1,21.49548,143.0958,13.63056,19.345,4723,28.13521,473.6556,12.65158,24,160.5576,12.47451,26.11431,18.50317,1124,47.33462,70
CN(C)C(=O)\C=C\c1ccc(cc1)N2CCc3cc(O)ccc3C2c4ccccc4,1,17.32436,122.0878,10.15547,16.192,2587,23.16804,386.6992,11.8941,18.5,133.4585,10.7448,21.08721,14.52488,755,33.34138,56
Oc1ccc2C(C(CCc2c1)c3ccccc3)c4ccc(OCCN5CCCC5)cc4,1,18.04243,126.557,11.59633,15.824,2881,22.77551,403.2108,13.51627,19,134.7237,10.95052,21.04539,15.27599,828,37.78542,62
Oc1ccc(cc1)C2CN(Cc3cc(O)ccc23)S(=O)(=O)c4ccccc4,1,14.68989,96.1076,8.968279,13.837,1720,20.28,330.5849,7.079428,16.5,115.8847,8.393595,19.0183,12.94753,536,29.22693,46
Oc1ccc2C(N(Cc3ccc4OCOc4c3)CCc2c1)c5ccc(OCCN6CCCC6)cc5,1,19.98831,136.259,12.62323,17.72,4058,25.2875,436.7276,12.36222,23.25,144.4089,11.80676,23.61431,17.22548,1048,44.69062,67
Oc1ccc2C(CC3CCCCC3)N(CCc2c1)c4ccccc4,1,14.32478,101.597,9.445579,12.809,1267,17.41564,321.8105,11.4247,14.5,100.7575,8.131483,16.35516,11.80966,415,31.49659,51
Oc1ccc2C(Cc3ccccc3)N(CCc2c1)c4ccccc4,1,13.59865,100.551,8.485072,12.834,1267,17.41564,303.0011,10.73368,14.5,110.4656,8.131483,16.35516,11.80966,415,24.93735,45
Oc1ccc2C(N(CCc2c1)C(=O)c3ccccc3)c4ccc(OCCN5CCCC5)cc4,1,18.82055,130.0598,11.81824,16.894,3391,24.68371,420.3613,11.58663,21,138.1127,11.82314,22.62275,16.18667,914,39.63021,63
Oc1ccc(cc1)C2CN(Cc3ccccc3)Cc4cc(O)ccc24,1,13.96851,98.5928,8.558687,13.192,1474,18.36735,311.7914,9.511051,15.25,111.8055,8.34714,17.2254,12.18667,502,24.93735,46
Oc1ccc2C(C3CCCCC3)N(CCc2c1)c4ccccc4,1,13.61768,96.98,8.962416,12.31,1086,16.46746,304.5145,10.69705,14,96.3057,7.486111,15.64805,11.3265,386,29.31018,48
Oc1ccc(cc1)C2CN(Cc3cc(O)ccc23)S(=O)(=O)c4cccc5ccccc45,1,16.8446,113.6136,10.37896,16.263,2474,22.77551,371.2394,8.937402,19,134.0817,9.330621,21.58721,14.93069,689,31.41335,52
Oc1ccc2C(N(CCc2c1)C(=O)C(F)(F)F)c3ccc(Br)cc3,0,13.93355,87.1018,8.014996,10.949,1216,18.78107,291.3271,8.540813,15,93.829,7.318869,17.48276,11.26988,388,22.04869,37
Oc1ccc(cc1)C2CN(Cc3cc(O)ccc23)C(=O)C(F)(F)F,1,12.4168,81.0886,7.2229,10.524,1252,18.78107,280.8337,7.497548,15.25,88.3357,7.318869,17.48276,11.25304,400,21.8519,38
Oc1ccc2C(N(CCc2c1)S(=O)(=O)c3ccccc3)c4ccc(OCCN5CCCC5)cc4,1,19.34078,125.5898,12.21988,16.919,3589,25.64127,433.0011,10.77621,21.5,142.3606,11.58848,23.54539,16.52001,939,45.14821,64
Oc1ccc(cc1)[C@H]2N(CCc3cc(O)ccc23)C(=O)C(F)(F)F,0,12.4168,81.0666,7.256623,10.524,1216,18.78107,280.8337,7.39178,15.25,87.9003,7.318869,17.48276,11.26988,388,21.8519,38
Oc1ccc2C(N(CCc2c1)S(=O)(=O)c3ccc4ccccc4c3)c5ccc(OCCN6CCCC6)cc5,1,21.49548,143.0958,13.62458,19.345,4835,28.13521,473.6556,12.75812,24,160.5576,12.47451,26.11431,18.48633,1162,47.33462,70
Oc1ccc2C(N(CCc2c1)C(=O)C(F)(F)F)c3ccccc3,0,12.04693,79.4018,7.122332,9.697,1070,17.8112,272.0435,8.474654,14.5,86.2948,7.086925,16.61252,10.87603,349,21.8519,37
CCCc1ccc(cc1)S(=O)(=O)N2CCc3cc(O)ccc3C2c4ccc(OCCN5CCCC5)cc4,0,21.67765,139.5848,13.69122,18.393,4613,28.52588,484.889,12.51467,23,154.8162,13.10939,25.82985,17.95186,1131,51.70745,73
Oc1ccc2C(N(CCc2c1)c3ccccc3)c4ccccc4,1,12.89154,95.022,8.011945,12.335,1086,16.46746,285.7052,10.1208,14,105.6002,7.486111,15.64805,11.3265,386,22.75093,42
Oc1ccc2C(N(CCc2c1)C(=O)C(F)(F)F)c3cccs3,0,12.11698,74.0968,7.48647,9.607,944,16.84375,258.597,6.671211,14,83.5592,6.481481,15.90541,10.37603,327,21.94548,34
Oc1ccc2C(N(CCc2c1)c3ccccc3)c4ccc(OCCN5CCCC5)cc4,1,17.9123,126.191,11.36411,16.244,2881,22.77551,396.9116,12.90242,19.75,134.117,10.95052,21.04539,15.27599,828,38.67221,61
CC(C)C1N(CCc2cc(O)ccc12)c3ccccc3,1,12.08214,85.243,7.30062,10.457,752,14.91736,264.983,9.075535,12,90.1323,6.405827,14.11252,9.664704,318,24.93735,41
Oc1ccc2C(N(Cc3ccccc3)CCc2c1)c4ccc(OCCN5CCCC5)cc4,1,18.6194,128.075,11.81029,16.274,3195,23.7284,414.2076,13.48659,20.25,138.2814,11.62016,21.7525,15.75915,889,40.85862,64
Oc1ccc2C(N(CCc2c1)C(=O)C(F)(F)F)c3ccc(OCCN4CCCC4)cc3,1,17.06769,110.5708,10.4745,13.606,2857,24.13495,383.2499,11.01663,20.25,114.8116,10.50812,22.00986,14.82552,797,37.77318,56
CCOC(=O)N1CCc2cc(O)ccc2C1c3ccc(OCCN4CCCC4)cc3,0,17.54915,116.1418,10.85746,14.715,2675,23.16804,391.1335,9.46714,19.5,119.7188,11.22765,20.92407,14.6522,772,41.54621,60
Oc1ccc(cc1)[C@@H]2Sc3cc(O)c(F)cc3O[C@@H]2c4ccc(OCCN5CCCCC5)cc4,1,19.6388,126.5976,12.5451,17.563,3807,25.64127,428.0719,10.78157,21.5,140.0582,12.0299,23.49299,16.56368,1008,39.9048,62
Oc1ccc(cc1)[C@@H]2Sc3cc(O)ccc3O[C@H]2c4ccc(OCCN5CCCCC5)cc4,1,19.33818,133.3328,12.43945,17.662,3542,24.68371,422.0043,10.57718,20.75,139.9304,11.82314,22.62275,16.153,977,39.795,62
Oc1ccc(cc1)C2=Nc3c(O)cc(O)cc3OC2,0,9.868311,72.8046,5.690454,9.706,706,13.95918,219.5333,3.05346,12.25,76.9476,5.78,13.40541,9.13103,341,15.26128,30
Cc1ccc(cc1)N2CCc3cc(O)ccc3C2(C)c4ccc(OCCN5CCCCC5)cc4,1,20.4647,139.053,12.66285,17.534,3650,25.64127,448.7995,15.04567,21.25,145.9482,11.58848,23.54539,16.53586,988,45.23145,70
Oc1ccc(cc1)[C@@H]2Sc3c(Cl)c(O)ccc3O[C@@H]2c4ccc(OCCN5CCCCC5)cc4,1,20.39473,138.3428,12.92905,17.898,3789,25.64127,437.2154,10.5921,21.5,144.6466,12.0299,23.49299,16.58052,1008,39.1218,62
CN(C)CCOc1ccc(cc1)[C@@H]2Oc3ccc(O)cc3S[C@@H]2c4cccc(O)c4,1,17.80265,121.5958,10.70143,15.809,2584,23.16804,382.4728,9.012737,18.75,133.1646,10.7448,21.08721,14.4912,755,35.42218,55
