SP-1,WPATH,ECCEN,SP-2,MLFER_L,nBonds,Kier1,MW,ETA_Eta_R,MDEC-23,ETA_Alpha,VAdjMat,WTPT-1,ETA_Beta_s,ETA_Beta,Kier3,ATSm2,nHeavyAtom,SaaO,SP-0,sumI,VP-1,McGowan_Volume,Kier2,minaaO
17.08052004,3957,1020,15.26774881,17.906,39,26.60092045,470.2005709,68.7464,41.64756087,16.5857,6.129283017,72.60315572,22,45.5,6.716049383,41.74106269,35,0,24.20009537,80.66666667,11.81768685,3.5291,12.69753086,0
17.47436689,4337,1105,15.88961062,17.935,40,27.5625,484.216221,71.8849,41.64756087,17.0857,6.169925001,74.4609089,22.75,46.25,6.966398831,42.90724462,36,0,25.07033885,82.16666667,12.19024919,3.67,12.90178571,0
20.53000978,7184,1610,18.39020241,21.082,47,31.96106836,560.2475211,86.29527,45.8072737,20.0857,6.392317423,87.38745763,26.25,55.75,8.436992969,49.90724462,42,0,28.89032981,93.33333333,14.32350036,4.2778,15.52662722,0
20.44069338,7114,1604,18.56447047,21.528,47,31.96106836,560.2475211,87.22207,48.02161147,20.0857,6.392317423,87.2496981,26.25,55.75,8.05785124,49.90724462,42,0,29.05346652,93.5,14.2880096,4.2778,15.05968779,0
17.56368328,4395,1111,15.73728465,19.302,40,27.5625,477.1740218,70.97234,44.29284898,17.1857,6.169925001,74.60401934,21.75,51.75,7.358796296,42.24251689,36,0,24.90720215,84.33333333,11.66520134,3.5821,13.37520661,0
14.50804039,2424,692,13.28622168,14.97,33,23.16804408,406.1216519,56.98032,37.25491659,13.95236,5.906890596,61.73415881,18.5,41,5.88,35.90642895,30,0,21.08721119,77.16666667,9.4137936,2.894,10.74480151,0
13.15219834,1709,527,11.72327285,13.725,30,20.28,360.1161726,49.34132,36.3090969,12.7857,5.754887502,55.88219015,16.25,38.25,4.609418283,31.91015302,27,0,18.80275414,66.5,8.664087381,2.6357,9.212018141,0
13.5797187,2076,602,11.81949789,14.447,30,22.68,370.1568946,51.41441,34.01047709,13.49999,5.807354922,56.7969132,15.75,38.75,6.497500961,30.99627593,28,0,19.93251065,65.83333333,9.176099528,2.9654,11.4075,0
15.50804039,3065,848,13.99332846,16.04,35,25.10367347,434.1529521,61.39633,38.48221548,14.95236,6,65.73781289,19.5,42,6.789802289,37.90642895,32,0,22.50142475,80.16666667,10.4137936,3.1758,12.109375,0
15.04604519,2661,719,13.45532366,15.798,34,24.1349481,418.1416384,59.55851,37.25491659,14.49998,5.95419631,63.76253133,19.25,41.75,6.118626431,36.98882779,31,0,21.79431797,74.66666667,9.837183799,3.0759,11.42145767,0
9.636194227,740,264,8.179087446,10.362,21,16.37188209,288.1547864,33.62969,13.4655992,10.16666,5.321928095,39.82498767,10.75,22.25,3.4425,24.67166239,20,0,14.58757567,38.56481481,8.357782031,2.4348,7.319857313,0
10.03004108,847,298,8.812854641,10.838,22,17.3553719,302.1704365,36.57153,15.23614459,10.66666,5.392317423,41.70917623,11.25,22.75,3.673469388,25.67166239,21,0,15.45781916,40.23148148,8.768465634,2.5757,7.513007284,0
11.97872948,1435,459,10.2337216,12.828,26,21.30177515,343.2147438,46.66712,17.65536677,11.89999,5.64385619,49.56803455,14.5,27.5,4.837984173,27.66073177,25,0,18.44938299,55.75,9.147674822,2.8682,9.796296296,0
12.40624984,1549,474,10.6704807,12.693,27,22.29080933,357.2303939,50.59853,17.65536677,12.39999,5.700439718,51.43568165,15.25,28.25,4.716269135,28.82691371,26,0,19.31962648,57.25,9.542102013,3.0091,9.972299169,0
15.56884722,3020,840,13.56594863,17.173,35,25.10367347,427.2511293,62.56489,30.14503522,15.56666,6,65.51515056,18.75,40.75,5.644463668,36.3286398,32,0,22.553831,64.08333333,11.65538143,3.5475,11.62015827,0
17.15299968,4179,1074,15.16807971,18.942,39,26.60092045,487.1662694,66.48802,30.82770303,16.91428,6.129283017,72.55148559,22.75,48.75,7.312749422,43.77550406,35,0,24.03695866,72.34567901,12.08812958,3.5927,13.18120328,0
15.99120364,3460,921,14.41144411,19.201,36,26.07407407,460.1666037,63.12502,29.23779949,15.98095,6.044394119,67.61511882,21.25,47.25,7.49219563,40.44368397,33,0,23.20853153,69.34567901,10.94185295,3.4606,12.80799667,0
17.69100448,4538,1142,15.33718169,18.951,40,27.5625,501.1819194,69.03563,30.82770303,17.41428,6.169925001,74.57449765,23.5,49.5,7.567546122,45.10759603,36,0,24.74406544,71.84567901,12.47689522,3.7336,13.87517147,0
14.69100448,3041,943,12.83127716,15.587,33,23.16804408,425.1506193,52.07007,19.89711693,14.41428,5.906890596,61.78283858,20,40,6.99768595,38.10759603,30,0,20.76093778,60.51234568,10.39356188,3.1258,11.74380165,0
14.60521805,3046,905,12.36331669,15.231,32,24.63867188,427.1662694,53.48466,19.39381543,14.41428,5.906890596,60.8493484,19.5,39.5,7.828402367,37.10759603,30,0,21.34672421,61.51234568,10.30777545,3.2344,12.88888889,0
13.52920844,2458,796,12.07464156,14.233,30,22.68,399.1349692,48.89253,18.91910615,13.41428,5.807354922,56.84650892,18.5,38.5,7.335069444,35.10759603,28,0,19.93251065,58.51234568,9.155533543,2.9526,11.4075,0
14.60521805,3046,905,12.36331669,16.844,32,24.63867188,426.1822538,53.48466,19.39381543,14.48095,5.906890596,60.8493484,19.5,39.5,7.828402367,36.77577595,30,0,21.34672421,60.51234568,10.39952716,3.2755,12.88888889,0
15.08485133,3275,974,13.47694974,19.037,34,24.1349481,437.1618527,55.50376,21.87180215,14.88095,5.95419631,63.5999722,20.75,42.25,7.239150508,38.77604784,31,0,21.63118127,65.67901235,10.55019185,3.2237,11.92344045,0
30.96269096,23138,3231,28.5648672,33.143,70,54.33469388,897.5139455,175.42277,0,30.5333,7.022367813,131.4872266,39.5,60,13.30103806,75.14810537,65,0,47.1638325,151.9166667,23.43840242,7.1112,24.90108813,0
30.46269096,21625,3063,28.21131381,32.038,69,53.35349716,881.4826453,173.10599,0,30.0333,7,129.4873465,39,60.5,12.8660631,74.14810537,64,0,46.45672572,151.4166667,22.74567929,6.9273,24.2172,0
17.39459695,4548,1201,16.04863497,15.769,40,27.5625,482.2457096,72.63774,29.60120874,17.33332,6.169925001,74.41241968,21.25,42.75,5.960625,41.66045989,36,0,25.17515134,79,13.25412813,3.8362,12.02734839,0
47.50632904,71616,5606,43.35823071,62.594,102,97.07804691,1423.793583,341.68014,0,45.76661,7.658211483,197.2561476,63.75,98.25,38.9630411,113.2957493,101,0,76.15718557,279,33.41761812,11.041,52.21908466,0
47.59211547,66431,5150,43.77244428,61.76,103,95.20218682,1423.804816,347.49118,0,45.73328,7.658211483,198.4328178,64.75,98.25,37.515625,114.4622032,101,0,75.57139913,275,33.73033073,10.9754,50.72718803,0
47.98596232,67587,5193,44.41330849,62.031,104,96.20025888,1437.820466,355.01663,0,46.23328,7.672425342,200.2520071,65.25,98.75,37.72290809,115.4622032,102,0,76.44164262,276.8333333,34.12417758,11.1163,50.80227353,0
47.98596232,67519,5185,44.41330849,62.031,104,96.20025888,1437.820466,355.1763,0,46.23328,7.672425342,200.2520037,65.25,98.75,37.72290809,115.4622032,102,0,76.44164262,276.8333333,34.12417758,11.1163,50.80227353,0
46.59211547,63277,5050,43.06533749,62.026,101,93.20615626,1395.762283,338.89915,0,44.76661,7.62935662,194.4296828,63.25,96.75,36.1788175,112.2957493,99,0,74.15718557,273,32.93445488,10.6936,49.1279237,0
46.58095068,68944,5488,42.49770793,60.458,100,95.0796,1399.804816,328.28619,0,44.73328,7.62935662,193.4348764,63.25,95.75,39.61089426,111.4622032,99,0,74.63815952,271.8333333,33.02533037,10.8452,52.12742382,0
47.98596232,67587,5193,44.41330849,62.031,104,96.20025888,1437.820466,355.01663,0,46.23328,7.672425342,200.2520071,65.25,98.75,37.72290809,115.4622032,102,0,76.44164262,276.8333333,34.12417758,11.1163,50.80227353,0
15.92225395,3406,864,13.83535321,17.036,35,27.58530612,446.2205574,65.20199,35.01395461,15.63332,6.044394119,66.51820361,19.75,41.75,8,37.54655724,33,0,23.79431797,76.5,10.87955376,3.5485,13.92123133,0
17.9054172,5038,1184,15.35364384,19.032,39,31.52662722,502.2831577,74.39065,38.41967855,17.63332,6.209453366,74.52855126,21.75,43.75,10.48526077,41.54655724,37,0,26.6227451,82.5,12.83666055,4.1121,16.9550173,0
16.9054172,4152,1008,14.64653706,18.034,37,29.55441928,474.2518576,69.80303,37.32537176,16.63332,6.129283017,70.52648173,20.75,42.75,9.356624563,39.54655724,35,0,25.20853153,79.5,11.83666055,3.8303,15.42107455,0
18.4054172,5536,1278,15.70719723,19.392,40,32.51375,518.2780723,76.68002,37.0119672,17.96665,6.247927513,76.52889618,22.75,45.25,11.07421875,43.21074119,38,0,27.32985188,86,12.97590643,4.1708,17.73372781,0
15.72467799,3225,864,13.36755994,16.34,35,25.10367347,427.2511293,59.05741,32.66746838,15.56666,6,65.73223372,19,39.5,7.497845447,36.49482173,32,0,22.17515134,63.16666667,11.73627434,3.5475,13.1852552,0
