SMILES,HOB,BCUTc-1l,SsOH,maxHsOH,MLFER_A,minsOH,minHsOH,nHsOH,maxsOH,nsOH,SHsOH
Oc1cccc(c1)C2=Cc3cc(O)ccc3C24C(=O)c5ccccc5C4=O,1,-0.36166,19.82882,0.498954,1.089,9.894823,0.491148,2,9.933999,2,0.990103
Oc1ccc2O[C@H]([C@H](Sc2c1)c3cccs3)c4ccc(OCCN5CCCCC5)cc4,0,-0.36052,9.955297,0.481992,0.546,9.955297,0.481992,1,9.955297,1,0.481992
Oc1ccc2O[C@H]([C@@H](CC3CCCC3)Sc2c1)c4ccc(OCCN5CCCCC5)cc4,0,-0.36053,9.987838,0.464751,0.546,9.987838,0.464751,1,9.987838,1,0.464751
Oc1ccc(cc1)c2sc3cc(O)ccc3c2C(=O)c4ccc(OCCN5CCCCC5)cc4,0,-0.36138,19.70768,0.527697,1.089,9.710929,0.475832,2,9.996747,2,1.003529
Oc1ccc(cc1)[C@H]2Sc3cc(O)ccc3O[C@H]2c4ccc(COCCN5CCCCC5)cc4,0,-0.37491,19.75259,0.513287,1.089,9.763986,0.477466,2,9.988608,2,0.990753
Oc1ccc(cc1)[C@H]2Sc3cc(O)ccc3O[C@H]2c4ccc(cc4)C5=CCNCC5,0,-0.36138,19.68429,0.519605,1.41,9.729836,0.483784,2,9.954458,2,1.003389
CN1CCN(CC1)c2ccc(cc2)[C@@H]3Oc4ccc(O)cc4S[C@@H]3c5ccc(O)cc5,0,-0.36138,19.72128,0.515955,1.089,9.748327,0.480135,2,9.972949,2,0.99609
Oc1ccc(cc1)[C@H]2Sc3cc(O)ccc3O[C@H]2CCCN4CCCCC4,0,-0.36138,19.52128,0.526102,1.089,9.648327,0.490281,2,9.872949,2,1.016383
Oc1ccc(cc1)[C@H]2Sc3cc(O)ccc3O[C@H]2c4ccc(CCCN5CCCCC5)cc4,0,-0.36138,19.75817,0.509589,1.089,9.766775,0.473769,2,9.991397,2,0.983358
CN1CCCN(CC1)c2ccc(cc2)[C@@H]3Oc4ccc(O)cc4S[C@@H]3c5ccc(O)cc5,0,-0.36138,19.76128,0.511511,1.089,9.768327,0.47569,2,9.992949,2,0.987201
Oc1ccc(cc1)[C@H]2Sc3cc(O)ccc3O[C@H]2c4ccc(cc4)C5CCNCC5,0,-0.36138,19.69484,0.516389,1.41,9.73511,0.480569,2,9.959731,2,0.996958
CCN1CCN(CC1)c2ccc(cc2)[C@@H]3Oc4ccc(O)cc4S[C@@H]3c5ccc(O)cc5,0,-0.36138,19.75286,0.512495,1.089,9.764121,0.476674,2,9.988743,2,0.98917
Oc1ccc(cc1)[C@H]2Sc3cc(O)ccc3O[C@H]2c4ccc(cc4)N5CCNCC5,0,-0.36138,19.68558,0.519862,1.1,9.73048,0.484041,2,9.955102,2,1.003903
Oc1ccc(cc1)[C@H]2Sc3cc(O)ccc3O[C@H]2c4ccc(CN5CCCCC5)cc4,0,-0.36138,19.7174,0.514692,1.089,9.746389,0.478871,2,9.971011,2,0.993564
Oc1ccc(cc1)[C@H]2Sc3cc(O)ccc3O[C@H]2c4ccc(cc4)N5CCCNCC5,0,-0.36138,19.72558,0.515417,1.255,9.75048,0.479596,2,9.975102,2,0.995014
C[C@]12CC[C@H]3[C@@H](CCc4cc(O)ccc34)[C@@H]1CC[C@@H]2O,0,-0.39198,20.04967,0.49977,0.891,9.677187,0.257052,2,10.37249,2,0.756822
CCCCN(C)C(=O)CCCCCCCCCCS[C@@H]1[C@H](O)c2cc(O)ccc2[C@H]3CC[C@]4(C)[C@@H](O)CC[C@H]4[C@H]13,0,-0.39218,32.76793,0.386097,1.236,10.20975,0.029775,3,11.6564,3,0.559252
CC\C(=C(/c1ccccc1)\c2ccc(\C=C\C(=O)O)cc2)\c3ccccc3,1,-0.32823,8.802782,0.700035,0.591,8.802782,0.700035,1,8.802782,1,0.700035
C[C@]12CC[C@H]3[C@@H]([C@H](Sc4ccc(Br)cc4)C(O)c5cc(O)ccc35)[C@@H]1CC[C@@H]2O,0,-0.39215,32.48194,0.417637,1.236,10.11426,0.074832,3,11.56138,3,0.667388
C[C@]12CC[C@H]3[C@@H]([C@@H](Cc4cc(O)ccc34)Sc5ccc(\C=C\C(=O)O)cc5)[C@@H]1CC[C@@H]2O,0,-0.39202,29.83787,0.678249,1.479,8.857701,0.169823,3,10.83773,3,1.260614
CN(C)C(=O)\C=C\c1ccc(S[C@@H]2Cc3cc(O)ccc3[C@H]4CC[C@]5(C)[C@@H](O)CC[C@H]5[C@H]24)cc1,0,-0.39202,21.07823,0.402507,0.891,10.19146,0.159788,2,10.88676,2,0.562295
CCCCN(C)C(=O)CCCCCCCCCCS[C@H]1[C@@H]2[C@H](CC[C@]3(C)[C@@H](O)CC[C@@H]23)c4ccc(O)cc4C1=O,0,-0.39237,21.04799,0.403042,1.076,10.16863,0.152388,2,10.87935,2,0.555429
C[C@]12CC[C@H]3[C@@H]([C@H](CCCCCCCCCS(=O)CCCC(F)(F)C(F)(F)F)Cc4cc(O)ccc34)[C@@H]1CC[C@@H]2O,0,-0.39237,20.98318,0.397947,0.891,10.14394,0.155229,2,10.83924,2,0.553176
CCCCN(C)C(=O)CCCCCCCCCCS[C@@H]1Cc2cc(O)ccc2[C@H]3CC[C@]4(C)[C@@H](O)CC[C@H]4[C@H]13,0,-0.39204,21.10146,0.386097,0.891,10.20308,0.143379,2,10.89838,2,0.529477
Oc1ccc(cc1)[C@H]2Sc3cc(O)ccc3S[C@H]2c4ccc(OCCN5CCCC5)cc4,0,-0.36138,19.82639,0.50168,1.089,9.783557,0.451906,2,10.04284,2,0.953587
Oc1ccc2O[C@H]([C@H](Sc2c1)c3cccc(O)c3)c4ccc(OCCN5CCCC5)cc4,0,-0.36137,20.0246,0.483799,1.089,9.964401,0.460774,2,10.0602,2,0.944574
Oc1ccc(cc1)[C@H]2Sc3cc(O)ccc3S[C@H]2c4ccc(OCCN5CCCCC5)cc4,0,-0.36138,19.85417,0.498594,1.089,9.797446,0.44882,2,10.05673,2,0.947414
Oc1cccc(c1)[C@H]2Sc3cc(O)ccc3S[C@H]2c4ccc(OCCN5CCCCC5)cc4,0,-0.36137,20.19148,0.44882,1.089,10.05751,0.433882,2,10.13397,2,0.882702
Oc1cccc(c1)[C@H]2Sc3cc(O)ccc3S[C@H]2c4ccc(OCCN5CCCCC5)c(Br)c4,0,-0.36137,20.28906,0.440173,1.089,10.10163,0.423419,2,10.18744,2,0.863592
Oc1ccc(cc1)[C@H]2Sc3cc(O)ccc3S[C@H]2c4ccc(OCCN5CCCCC5)c(Br)c4,0,-0.36138,19.94241,0.489947,1.089,9.841566,0.440173,2,10.10085,2,0.93012
Oc1ccc(cc1)[C@H]2Sc3cc(O)ccc3S[C@H]2c4ccc(OCCN5CCCC5)c(Br)c4,0,-0.36138,19.91463,0.493033,1.089,9.827677,0.443259,2,10.08696,2,0.936293
Oc1cccc(c1)[C@H]2Sc3cc(O)ccc3O[C@H]2c4ccc(OCCN5CCCCC5)cc4,0,-0.36137,20.05406,0.480713,1.089,9.97829,0.457314,2,10.07577,2,0.938027
CN(CCCc1ccc(Cl)cc1)c2nc(NCCc3ccc(O)cc3)nc(n2)N4CCNCC4,1,-0.36052,9.479515,0.567718,0.751,9.479515,0.567718,1,9.479515,1,0.567718
CN(CCCc1ccc(F)cc1)c2nc(NCCc3ccc(O)cc3)nc(n2)N4CCNCC4,1,-0.36052,9.462879,0.57153,0.751,9.462879,0.57153,1,9.462879,1,0.57153
CN(C[C@@H]1C[C@@H]1c2ccccc2)c3nc(NCCc4ccc(O)cc4)nc(n3)N5CCNCC5,0,-0.36052,9.488547,0.565835,0.751,9.488547,0.565835,1,9.488547,1,0.565835
CN(CCCc1ccc(Cl)cc1)c2nc(NCCc3ccc(O)cc3)nc(n2)N4CCN(Cc5csc(C)n5)CC4,0,-0.36054,9.572743,0.550372,0.74,9.572743,0.550372,1,9.572743,1,0.550372
CN(CCCc1ccc(Cl)cc1)c2nc(NCCc3ccc(O)cc3)nc(n2)N4CCN(CCO)CC4,0,-0.39454,18.7716,0.560352,0.996,9.256717,0.542403,2,9.514886,2,1.102755
Oc1ccc(CCNc2nc(SCCCc3ccc(Cl)cc3)nc(n2)N4CCNCC4)cc1,0,-0.36051,9.465234,0.569134,0.751,9.465234,0.569134,1,9.465234,1,0.569134
COc1cccc2OC(c3ccccc3)c4c(Br)c(NS(=O)(=O)C)ccc4c12,0,-0.34807,0,0,0.359,0,0,0,0,0,0
Oc1ccc(cc1)C(=C(CC(F)(F)F)c2ccccc2)c3ccc(O)cc3,0,-0.3614,19.11676,0.556775,1.089,9.558382,0.556775,2,9.558382,2,1.113551
Oc1ccc(cc1)C(=Cc2ccccc2)c3ccc(O)cc3,0,-0.3614,18.96525,0.569746,1.089,9.482624,0.569746,2,9.482624,2,1.139492
CC\C(=C(/c1ccccc1)\c2ccc(OCCN(C)C)cc2)\c3ccccc3,1,-0.3445,0,0,0.003,0,0,0,0,0,0
CCC(=C(c1ccc(O)cc1)c2ccc(O)cc2)c3ccccc3,0,-0.3614,19.21824,0.541775,1.089,9.609122,0.541775,2,9.609122,2,1.083551
CCCCC(=C(c1ccc(O)cc1)c2ccc(O)cc2)c3ccccc3,0,-0.3614,19.38671,0.523511,1.089,9.693353,0.523511,2,9.693353,2,1.047022
CC(=C(c1ccc(O)cc1)c2ccc(O)cc2)c3ccccc3,0,-0.3614,19.10385,0.554121,1.089,9.551927,0.554121,2,9.551927,2,1.108242
CCCC(=C(c1ccc(O)cc1)c2ccc(O)cc2)c3ccccc3,0,-0.3614,19.31059,0.531775,1.089,9.655295,0.531775,2,9.655295,2,1.063551
CC\C(=C(/c1ccccc1)\c2ccc(O)cc2)\c3ccccc3,0,-0.36046,9.605789,0.541775,0.546,9.605789,0.541775,1,9.605789,1,0.541775
CC\C(=C(\CC)/c1ccc(O)cc1)\c2ccc(O)cc2,0,-0.3614,18.82136,0.570504,1.089,9.41068,0.570504,2,9.41068,2,1.141009
CCc1c(oc(c2ccc(O)cc2)c1c3ccc(OCCN4CCCCC4)cc3)c5ccc(O)cc5,0,-0.3614,19.57793,0.523444,1.089,9.764668,0.5158,2,9.813259,2,1.039244
Cc1c(c2ccc(O)cc2)n(Cc3ccc(OCCN4CCCCC4)cc3)c5ccc(O)cc15,0,-0.36139,19.83767,0.518307,1.089,9.76079,0.461917,2,10.07688,2,0.980223
Cc1c(c2ccc(O)cc2)n(Cc3ccc(OCCN4CCCCCC4)cc3)c5ccc(O)cc15,0,-0.36139,19.86403,0.515536,1.089,9.773256,0.45883,2,10.09077,2,0.974367
Cc1c(c2ccc(O)cc2)n(CCCCCCN3CCCC3)c4ccc(O)cc14,0,-0.36139,19.65609,0.52481,1.089,9.677509,0.469182,2,9.978581,2,0.993992
Cc1cc(O)c2C(=O)c3c(O[C@@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@H]4O)cc(O)cc3C(=O)c2c1,0,-0.39337,59.75185,0.551803,1.517,9.324612,0.40509,6,10.27387,6,2.744661
Oc1ccc(cc1)C2=COc3cc(O)cc(O)c3C2=O,0,-0.36132,28.4073,0.623108,1.417,9.249948,0.550233,3,9.788337,3,1.792118
Oc1ccc(cc1)C2=COc3cc(O)ccc3C2=O,1,-0.36135,18.59402,0.623108,1.292,9.245833,0.618777,2,9.348184,2,1.241885
Cc1cc(O)c2C(=O)c3c(O)cc(O)cc3C(=O)c2c1,1,-0.36109,29.13147,0.586808,0.796,9.45736,0.508155,3,9.892363,3,1.630773
Oc1ccc2C(=O)c3cc(O)ccc3C(=O)c2c1,1,-0.36138,18.76169,0.599154,1.089,9.380843,0.599154,2,9.380843,2,1.198308
Cc1ccc(cc1)S(=O)(=O)N2CCc3cc(O)ccc3C2c4ccc(OCCN5CCCC5)cc4,0,-0.36054,10.02966,0.456427,0.546,10.02966,0.456427,1,10.02966,1,0.456427
Oc1ccc(cc1)C2CN(Cc3cc(O)ccc23)C(=O)c4ccccc4,0,-0.36139,19.46483,0.547467,1.089,9.577991,0.492411,2,9.886842,2,1.039877
Oc1ccc2C(N(CCc2c1)c3ccccc3)c4cccs4,0,-0.36045,9.795506,0.501405,0.546,9.795506,0.501405,1,9.795506,1,0.501405
Oc1ccc2C(N(CCc2c1)c3ccc(\C=C\C(=O)N4CCOCC4)cc3)c5ccccc5,0,-0.37814,9.978041,0.470809,0.546,9.978041,0.470809,1,9.978041,1,0.470809
Oc1ccc2C(N(CCc2c1)S(=O)(=O)c3cccc4ccccc34)c5ccc(OCCN6CCCC6)cc5,0,-0.36055,10.12204,0.441291,0.546,10.12204,0.441291,1,10.12204,1,0.441291
CN(C)C(=O)\C=C\c1ccc(cc1)N2CCc3cc(O)ccc3C2c4ccccc4,0,-0.36049,9.935277,0.47773,0.546,9.935277,0.47773,1,9.935277,1,0.47773
Oc1ccc2C(C(CCc2c1)c3ccccc3)c4ccc(OCCN5CCCC5)cc4,0,-0.36053,10.00543,0.457808,0.546,10.00543,0.457808,1,10.00543,1,0.457808
Oc1ccc(cc1)C2CN(Cc3cc(O)ccc23)S(=O)(=O)c4ccccc4,0,-0.36139,19.48318,0.542308,1.089,9.584566,0.483657,2,9.898617,2,1.025964
Oc1ccc2C(N(Cc3ccc4OCOc4c3)CCc2c1)c5ccc(OCCN6CCCC6)cc5,0,-0.36057,10.07384,0.456041,0.546,10.07384,0.456041,1,10.07384,1,0.456041
Oc1ccc2C(CC3CCCCC3)N(CCc2c1)c4ccccc4,0,-0.36046,9.865237,0.475899,0.546,9.865237,0.475899,1,9.865237,1,0.475899
Oc1ccc2C(Cc3ccccc3)N(CCc2c1)c4ccccc4,0,-0.36046,9.833551,0.493044,0.546,9.833551,0.493044,1,9.833551,1,0.493044
Oc1ccc2C(N(CCc2c1)C(=O)c3ccccc3)c4ccc(OCCN5CCCC5)cc4,0,-0.36054,9.995042,0.468951,0.546,9.995042,0.468951,1,9.995042,1,0.468951
Oc1ccc(cc1)C2CN(Cc3ccccc3)Cc4cc(O)ccc24,0,-0.36139,19.49592,0.54188,1.089,9.590049,0.483403,2,9.905869,2,1.025283
Oc1ccc2C(C3CCCCC3)N(CCc2c1)c4ccccc4,0,-0.36046,9.854157,0.478539,0.546,9.854157,0.478539,1,9.854157,1,0.478539
Oc1ccc(cc1)C2CN(Cc3cc(O)ccc23)S(=O)(=O)c4cccc5ccccc45,0,-0.36139,19.72512,0.524397,1.089,9.685159,0.458551,2,10.03996,2,0.982949
Oc1ccc2C(N(CCc2c1)C(=O)C(F)(F)F)c3ccc(Br)cc3,0,-0.36047,9.632977,0.536936,0.546,9.632977,0.536936,1,9.632977,1,0.536936
Oc1ccc(cc1)C2CN(Cc3cc(O)ccc23)C(=O)C(F)(F)F,0,-0.36139,18.99469,0.584615,1.089,9.387231,0.54674,2,9.607456,2,1.131355
Oc1ccc2C(N(CCc2c1)S(=O)(=O)c3ccccc3)c4ccc(OCCN5CCCC5)cc4,0,-0.36054,10.00367,0.462344,0.546,10.00367,0.462344,1,10.00367,1,0.462344
Oc1ccc(cc1)[C@H]2N(CCc3cc(O)ccc23)C(=O)C(F)(F)F,0,-0.36139,18.98962,0.585391,1.089,9.397433,0.545584,2,9.59219,2,1.130974
Oc1ccc2C(N(CCc2c1)S(=O)(=O)c3ccc4ccccc4c3)c5ccc(OCCN6CCCC6)cc5,0,-0.36055,10.10427,0.444433,0.546,10.10427,0.444433,1,10.10427,1,0.444433
Oc1ccc2C(N(CCc2c1)C(=O)C(F)(F)F)c3ccccc3,0,-0.36046,9.588857,0.545584,0.546,9.588857,0.545584,1,9.588857,1,0.545584
CCCc1ccc(cc1)S(=O)(=O)N2CCc3cc(O)ccc3C2c4ccc(OCCN5CCCC5)cc4,0,-0.36055,10.07335,0.44688,0.546,10.07335,0.44688,1,10.07335,1,0.44688
Oc1ccc2C(N(CCc2c1)c3ccccc3)c4ccccc4,0,-0.36046,9.814384,0.500126,0.546,9.814384,0.500126,1,9.814384,1,0.500126
Oc1ccc2C(N(CCc2c1)C(=O)C(F)(F)F)c3cccs3,0,-0.36046,9.569979,0.546862,0.546,9.569979,0.546862,1,9.569979,1,0.546862
Oc1ccc2C(N(CCc2c1)c3ccccc3)c4ccc(OCCN5CCCC5)cc4,0,-0.36053,9.99182,0.468012,0.546,9.99182,0.468012,1,9.99182,1,0.468012
CC(C)C1N(CCc2cc(O)ccc12)c3ccccc3,0,-0.36045,9.682421,0.51323,0.546,9.682421,0.51323,1,9.682421,1,0.51323
Oc1ccc2C(N(Cc3ccccc3)CCc2c1)c4ccc(OCCN5CCCC5)cc4,0,-0.36054,10.00999,0.461958,0.546,10.00999,0.461958,1,10.00999,1,0.461958
Oc1ccc2C(N(CCc2c1)C(=O)C(F)(F)F)c3ccc(OCCN4CCCC4)cc3,0,-0.36054,9.766293,0.51347,0.546,9.766293,0.51347,1,9.766293,1,0.51347
CCOC(=O)N1CCc2cc(O)ccc2C1c3ccc(OCCN4CCCC4)cc3,0,-0.36054,9.876573,0.492551,0.546,9.876573,0.492551,1,9.876573,1,0.492551
Oc1ccc(cc1)[C@@H]2Sc3cc(O)c(F)cc3O[C@@H]2c4ccc(OCCN5CCCCC5)cc4,0,-0.38222,19.6313,0.520006,1.089,9.741752,0.511963,2,9.889545,2,1.031969
Oc1ccc(cc1)[C@@H]2Sc3cc(O)ccc3O[C@H]2c4ccc(OCCN5CCCCC5)cc4,0,-0.36138,19.73039,0.516534,1.089,9.752886,0.480713,2,9.977508,2,0.997247
Oc1ccc(cc1)C2=Nc3c(O)cc(O)cc3OC2,0,-0.36131,28.37374,0.624304,1.632,9.248567,0.564538,3,9.758893,3,1.809462
Cc1ccc(cc1)N2CCc3cc(O)ccc3C2(C)c4ccc(OCCN5CCCCC5)cc4,0,-0.36054,10.12187,0.437199,0.546,10.12187,0.437199,1,10.12187,1,0.437199
Oc1ccc(cc1)[C@@H]2Sc3c(Cl)c(O)ccc3O[C@@H]2c4ccc(OCCN5CCCCC5)cc4,0,-0.36086,20.10898,0.506287,0.979,9.803545,0.41667,2,10.30544,2,0.922957
CN(C)CCOc1ccc(cc1)[C@@H]2Oc3ccc(O)cc3S[C@@H]2c4cccc(O)c4,0,-0.36137,19.94995,0.49072,1.089,9.929353,0.468587,2,10.0206,2,0.959307
CCC1Oc2cc(O)ccc2N=C1c3ccc(O)cc3,0,-0.36135,18.87196,0.596334,1.089,9.367548,0.584586,2,9.50441,2,1.18092
Oc1ccc2[C@H]([C@H](CCc2c1)c3ccccc3)c4ccc(OCCN5CCCC5)cc4,0,-0.36053,10.00543,0.457808,0.546,10.00543,0.457808,1,10.00543,1,0.457808
Oc1ccc2C3=Nc4ccc(O)cc4OC3Cc2c1,0,-0.36135,19.00329,0.594691,1.089,9.477139,0.571414,2,9.526149,2,1.166105
CC(C)c1ccc(cc1)N2CCc3cc(O)ccc3C2(C)c4ccc(OCCN5CCCCC5)cc4,0,-0.36055,10.17384,0.425365,0.546,10.17384,0.425365,1,10.17384,1,0.425365
Cc1cc2S[C@H]([C@H](Oc2cc1O)c3ccc(OCCN4CCCCC4)cc3)c5ccc(O)cc5,0,-0.36124,20.04315,0.508269,1.089,9.788699,0.427732,2,10.25445,2,0.936002
CC1(C)Oc2cc(O)ccc2N=C1c3ccc(O)cc3,0,-0.36135,18.89021,0.593054,1.089,9.374553,0.579803,2,9.515654,2,1.172857
CCC(=C(c1ccc(O)cc1)c2ccc(OCCN(C)C)cc2)c3ccccc3,0,-0.36054,9.743624,0.517474,0.546,9.743624,0.517474,1,9.743624,1,0.517474
Oc1ccc(cc1)[C@@H]2Sc3ccc(O)cc3O[C@@H]2c4ccc(OCCN5CCCCC5)cc4,0,-0.36135,19.71972,0.516534,1.089,9.752308,0.490232,2,9.967413,2,1.006766
Oc1cccc(c1)C2Sc3cc(O)ccc3OC2c4ccc(OCCN5CCCCC5)cc4,0,-0.36137,20.05406,0.480713,1.089,9.97829,0.457314,2,10.07577,2,0.938027
CC1CCN(CCOc2ccc(cc2)[C@@H]3Oc4ccc(O)cc4S[C@@H]3c5cccc(O)c5)CC1,0,-0.36137,20.07857,0.477943,1.089,9.989885,0.454228,2,10.08869,2,0.93217
CCC1Oc2cc(O)cc(C)c2N=C1c3ccc(O)c(Br)c3,0,-0.3608,19.48651,0.535939,0.979,9.729364,0.52094,2,9.757149,2,1.056879
CC1Oc2cc(O)cc(O)c2N=C1c3ccc(O)cc3,0,-0.36131,28.61216,0.608679,1.632,9.314468,0.54413,3,9.845155,3,1.75302
Oc1ccc(cc1)[C@@H]2Sc3c(F)c(O)ccc3O[C@@H]2c4ccc(OCCN5CCCCC5)cc4,0,-0.36079,19.62655,0.521534,1.089,9.737001,0.511963,2,9.889545,2,1.033497
Cc1ccc(cc1)N2CCc3cc(O)ccc3C2(C)c4ccc(OCCN5CCCC5)cc4,0,-0.36054,10.1063,0.440659,0.546,10.1063,0.440659,1,10.1063,1,0.440659
Oc1ccc(cc1)[C@H]2[C@H](Oc3ccc(O)cc3S2(=O)=O)c4ccc(OCCN5CCCCC5)cc4,0,-0.36138,19.66317,0.519811,1.089,9.72825,0.485713,2,9.934915,2,1.005524
CN(C)c1cccc(c1)N2CCc3cc(O)ccc3C2(C)c4ccc(OCCN5CCCCC5)cc4,0,-0.36055,10.18328,0.426122,0.546,10.18328,0.426122,1,10.18328,1,0.426122
Cc1cc(O)cc2O[C@@H]([C@@H](Sc12)c3ccc(O)cc3)c4ccc(OCCN5CCCCC5)cc4,0,-0.36135,19.94467,0.506534,1.089,9.796423,0.450232,2,10.14825,2,0.956766
Oc1ccc2OC(C(Sc2c1)c3ccccc3)c4ccc(OCCN5CCCCC5)cc4,0,-0.36053,9.974175,0.480713,0.546,9.974175,0.480713,1,9.974175,1,0.480713
CCC1Oc2cc(O)cc(O)c2N=C1c3ccc(O)cc3,0,-0.36131,28.81477,0.596334,1.632,9.371663,0.528505,3,9.917859,3,1.709425
CC1(N(CCc2cc(O)ccc12)c3ccc(Cl)cc3)c4ccc(OCCN5CCCCC5)cc4,0,-0.36054,10.12641,0.437028,0.546,10.12641,0.437028,1,10.12641,1,0.437028
Oc1ccc(cc1)C2=C(Oc3ccc(O)cc3S2)c4ccc(OCCN5CCCCC5)cc4,0,-0.36138,19.69827,0.52858,1.089,9.736824,0.492759,2,9.961446,2,1.02134
CC1(N(CCc2cc(O)ccc12)c3ccc(Cl)cc3)c4ccc(OCCN5CCCC5)cc4,0,-0.36054,10.11084,0.440488,0.546,10.11084,0.440488,1,10.11084,1,0.440488
CC1(N(CCc2cc(O)ccc12)c3cccc(Cl)c3)c4ccc(OCCN5CCCCC5)cc4,0,-0.36054,10.13314,0.435675,0.546,10.13314,0.435675,1,10.13314,1,0.435675
Oc1ccc(cc1)[C@@H]2Sc3cc(O)c(Cl)cc3O[C@@H]2c4ccc(OCCN5CCCCC5)cc4,0,-0.36086,20.0934,0.509418,0.979,9.787963,0.41667,2,10.30544,2,0.926088
Cc1cc(O)cc2S[C@H]([C@H](Oc12)c3ccc(OCCN4CCCCC4)cc3)c5ccc(O)cc5,0,-0.36137,19.94762,0.508269,1.089,9.789277,0.440713,2,10.15834,2,0.948982
Oc1ccc(cc1)[C@H]2Sc3c(F)c(O)ccc3O[C@H]2c4ccc(OCCN5CCCCC5)cc4,0,-0.36079,19.62655,0.521534,1.089,9.737001,0.511963,2,9.889545,2,1.033497
Oc1ccc(cc1)[C@@H]2Sc3cc(O)ccc3O[C@@H]2c4ccc(OCCN5CCCCC5)cc4,0,-0.36138,19.73039,0.516534,1.089,9.752886,0.480713,2,9.977508,2,0.997247
Oc1ccc(cc1)[C@@H]2Cc3ccc(O)cc3O[C@@H]2c4ccc(OCCN5CCCCC5)cc4,0,-0.36135,19.67867,0.519557,1.089,9.734923,0.494348,2,9.943751,2,1.013905
Oc1ccc2O[C@@H]([C@@H](Sc2c1)c3ccccc3)c4ccc(OCCN5CCCCC5)cc4,0,-0.36053,9.974175,0.480713,0.546,9.974175,0.480713,1,9.974175,1,0.480713
