SMILES,WTPT-5,nHBAcc_Lipinski,ETA_BetaP_s,WTPT-3,minHBa,ETA_dEpsilon_C,ETA_dEpsilon_A,ETA_Epsilon_4,ETA_Epsilon_1,TopoPSA,MLFER_S,nHBAcc,nN,maxsssCH,ETA_EtaP_F,ETA_Eta_F_L
COc1ccc(cc1)c2nc(Cl)c(c(Oc3ccc(OCCN4CCCC4)cc3)n2)c5ccccc5,9.68345,6,0.65278,21.3421,0.52658,-0.0721,0.1464,0.51611,0.5904,56.71,3.169,3,3,0,1.09514,9.77929
COc1ccc(cc1)c2nc(Cl)cc(Oc3ccc(OCCN4CCCC4)cc3)n2,9.60468,6,0.66667,21.1851,0.61165,-0.0884,0.15688,0.53122,0.59974,56.71,2.727,3,3,0,0.96425,7.87604
CCN(CC)CCOc1ccc(Oc2cc(Cl)nc(n2)c3ccc(OC)cc3)cc1,9.46751,6,0.65,21.0335,0.60721,-0.0853,0.1495,0.5248,0.58903,56.71,2.577,3,3,0,0.97956,7.91977
COc1ccc(cc1)c2nc(Cl)cc(Oc3ccc(OCCN(C)C)cc3)n2,9.22821,6,0.66071,20.7691,0.60792,-0.0931,0.16771,0.53312,0.60771,56.71,2.577,3,3,0,1.02923,7.95347
CCN(CC)CCOc1ccc(Nc2cc(Cl)nc(n2)c3ccc(OC)cc3)cc1,12.6209,6,0.65,21.0335,0.64721,-0.0772,0.13799,0.5167,0.57753,59.51,3.112,4,4,0,0.97484,7.89177
COc1ccc(cc1)c2nc(Cl)cc(Nc3ccc(NC(=O)CN4CCCC4)cc3)n2,15.8043,7,0.66935,23.6927,0.62101,-0.0915,0.15964,0.53407,0.60216,79.38,3.932,6,5,0,1.02834,8.33229
CO[C@H]1C[C@H](C)CC2=C(NC\C=C\CCC[C@@H]3C[C@H]4[C@@H]5CCc6cc(O)ccc6[C@H]5CC[C@]4(C)[C@H]3O)C(=O)C=C(NC(=O)\C(=C\C=C/[C@H](OC)[C@@H](OC(=O)N)\C(=C\[C@H](C)[C@H]1O)\C)\C)C2=O,8.53735,13,0.60769,34.8104,2.63906,-0.0859,0.11583,0.52641,0.55637,206.74,4.196,12,3,0.55226,1.01531,10.7551
CO[C@H]1C[C@H](C)CC2=C(NCC#CCC[C@@H]3C[C@H]4[C@@H]5CCc6cc(O)ccc6[C@H]5CC[C@]4(C)[C@H]3O)C(=O)C=C(NC(=O)\C(=C\C=C/[C@H](OC)[C@@H](OC(=O)N)\C(=C\[C@H](C)[C@H]1O)\C)\C)C2=O,8.53869,13,0.60938,34.8121,2.62409,-0.0876,0.12245,0.52826,0.5631,206.74,4.13,12,3,0.50987,1.0485,10.9613
C[C@]12CC[C@H]3[C@@H](CCc4cc(O)ccc34)[C@@H]1CC[C@@]2(O)C#CC(=O)OCC5CCC#C\C=C/C#CC5,0,4,0.59028,10.678,5.48024,-0.0501,0.10552,0.49407,0.54952,66.76,2.068,3,0,0.49558,0.8263,6.6357
CC(C)C[C@H](NC(=O)[C@](C)(CCCC=C)NC(=O)[C@H](CCC(=O)N)NC(=O)[C@H](Cc1cnc[nH]1)NC(=O)[C@H](CC(C)C)NC(=O)[C@](C)(CCCC=C)NC(=O)[C@H](CCCCN)NC(=O)[C@H](Cc2cnc[nH]2)NC(=O)C)C(=O)N[C@@H](CCC(=O)N)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](CO)C(=O)N,54.9279,36,0.63119,97.2994,2.02132,-0.1483,0.16206,0.58256,0.59628,590.28,13.249,36,19,0,1.55011,19.233
CC(C)C[C@H](NC(=O)[C@]1(C)CCC\C=C/CCC[C@](C)(NC(=O)[C@H](CCCCN)NC(=O)[C@H](Cc2cnc[nH]2)NC(=O)C)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](Cc3cnc[nH]3)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N1)C(=O)N[C@@H](CCC(=O)N)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](CO)C(=O)N,60.218,37,0.64109,100.212,2.03835,-0.1502,0.16132,0.58536,0.59644,609.09,12.164,37,21,0,1.54171,18.952
CC(C)C[C@H](NC(=O)[C@]1(C)CCC\C=C/C[C@@H](C)C[C@](C)(NC(=O)[C@H](CCCCN)NC(=O)[C@H](Cc2cnc[nH]2)NC(=O)C)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](Cc3cnc[nH]3)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N1)C(=O)N[C@@H](CCC(=O)N)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](CO)C(=O)N,60.2138,37,0.63971,100.205,2.04006,-0.1482,0.159,0.58326,0.5941,609.09,12.125,37,21,0,1.54296,18.952
CC(C)C[C@H](NC(=O)[C@]1(C)C[C@H](C)C\C=C/CCC[C@](C)(NC(=O)[C@H](CCCCN)NC(=O)[C@H](Cc2cnc[nH]2)NC(=O)C)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](Cc3cnc[nH]3)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N1)C(=O)N[C@@H](CCC(=O)N)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](CO)C(=O)N,60.2138,37,0.63971,100.205,2.04142,-0.1482,0.159,0.58326,0.5941,609.09,12.125,37,21,0,1.54352,18.952
CC(C)C[C@H](NC(=O)[C@]1(C)CCC\C=C/CCC[C@](C)(NC(=O)[C@H](CCCCN)NC(=O)[C@H](Cc2cnc[nH]2)NC(=O)C)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](Cc3cnc[nH]3)C(=O)N[C@@H](CCC(=O)N)C(=O)N1)C(=O)N[C@@H](CCC(=O)N)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](CO)C(=O)N,54.941,36,0.63889,97.3194,2.0282,-0.1544,0.16601,0.58958,0.60117,590.28,12.319,36,19,0,1.54403,18.6462
CC[C@H](C)[C@H](NC(=O)[C@H](CCCCN)NC(=O)[C@H](Cc1cnc[nH]1)NC(=O)C)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](Cc2cnc[nH]2)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CCC(=O)N)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](CO)C(=O)N,60.2798,37,0.63889,100.307,2.02789,-0.1528,0.16119,0.58698,0.59543,609.09,13.016,37,21,0,1.49186,18.4522
CC(C)C[C@H](NC(=O)[C@]1(C)CCC\C=C/C[C@H](C)C[C@](C)(NC(=O)[C@H](CCCCN)NC(=O)[C@H](Cc2cnc[nH]2)NC(=O)C)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](Cc3cnc[nH]3)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N1)C(=O)N[C@@H](CCC(=O)N)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](CO)C(=O)N,60.2138,37,0.63971,100.205,2.04006,-0.1482,0.159,0.58326,0.5941,609.09,12.125,37,21,0,1.54296,18.952
CC\C(=C(/c1ccc(O)cc1)\c2ccc(OCCN(C)C)cc2)\c3ccc(cc3)C(=O)NO,5.68943,6,0.59848,16.1701,1.66041,-0.0667,0.13195,0.50562,0.5709,82.03,3.108,2,2,0,1.10433,8.68724
CC\C(=C(/c1ccc(O)cc1)\c2ccc(OCCN(C)C)cc2)\c3ccc(CCCCC(=O)NO)cc3,5.66533,6,0.58784,16.0949,1.67988,-0.0582,0.11057,0.49649,0.54889,82.03,3.108,2,2,0,1.02576,8.77873
CC\C(=C(/c1ccc(O)cc1)\c2ccc(OCCN(C)C)cc2)\c3ccc(CCC(=O)NO)cc3,5.67015,6,0.59286,16.1099,1.67392,-0.0621,0.12032,0.50075,0.55894,82.03,3.108,2,2,0,1.0646,8.77873
CC\C(=C(/c1ccc(O)cc1)\c2ccc(OCCN(C)C)cc2)\c3ccc(OCCCCC(=O)NO)cc3,5.66452,7,0.59868,19.1651,1.64131,-0.0684,0.12278,0.5066,0.56097,91.26,3.293,2,2,0,1.04982,9.20198
CCC(=C(c1ccc(O)cc1)c2ccc(OCCN3CCCC3)cc2)Cc4ccccc4,3.35553,3,0.59375,8.97014,2.46938,-0.0311,0.08444,0.47333,0.52667,32.7,2.314,1,1,0,0.92809,7.65188
